Acronym,Meaning,Source,Source (URL),Catgories/Tags,Contact,URL Link,URL Link (URL),Notes,,Rational for what is included in Acronym List,,Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEBCO,General Bathymetric Chart of the Oceans,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoC,Government of Canada ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Government Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSI,Genetic Stock Identification,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HA,Harvest Agreement,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSP,Habitat Stewardship Program,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,Impact Assessment,DFO Wild Salmon Policy Implementation Plan - Annual Report 2020 to 2021,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/annual-annuel/2020-2021-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAA,Indigenous Affairs Advisor,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Indigenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAMC,Indigenous Advisory and Monitoring Committee ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,External Committee/Board/Panel etc.,,About Us – IAMC-TMX,https://iamc-tmx.com/about/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iARC,Internet Annual Recreational Catch reporting program,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,DFO Branch/Division/Program/Area,,Report your effort and catch | Pacific Region | Fisheries and Oceans Canada (dfo-mpo.gc.ca),https://www.pac.dfo-mpo.gc.ca/fm-gp/rec/report-declarez-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFMP,Integrated Fisheries Management Plans,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,Integrated Fisheries Management Plans (dfo-mpo.gc.ca),https://www.dfo-mpo.gc.ca/fisheries-peches/ifmp-gmp/index-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IHPC,Integrated Harvest Planning Committee,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,External Committee/Board/Panel etc.,,Integrated Salmon Harvest Planning Committee (IHPC) terms of reference | Pacific Region | Fisheries and Oceans Canada (dfo-mpo.gc.ca),https://www.pac.dfo-mpo.gc.ca/consultation/smon/ihpc-cpip/tor-man-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIRT,Indigenous Interests Response Team,DFO Pacific Region Committees ,https://intranet.ent.dfo-mpo.ca/pac/en/pac-committees,Indigenous,"Duncan Stephen /
Jena Chin",DFO and GoC Reconciliation committee governance | Intranet - Pacific Region (dfo-mpo.ca),https://intranet.ent.dfo-mpo.ca/pac/en/node/1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IK,Indigenous Knowledge,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Indigenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IKS,Indigenous Knowledge Systems,DFO Wild Salmon Policy Implementation Plan - Annual Report 2020 to 2021,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/annual-annuel/2020-2021-eng.html,Indigenous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSPECTIONS,C&P Inspection Database ,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOS,Institute of Ocean Sciences,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,Institute of Ocean Sciences,https://science.gc.ca/site/science/en/educational-resources/marine-and-freshwater-sciences/institute-ocean-sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iREC,Internet Recreational Effort and Catch reporting program,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRP,Interdepartmental Recovery Fund,Species at Risk public registry: glossary of terms,https://www.canada.ca/en/environment-climate-change/services/species-risk-public-registry/glossary-terms.html,Grants and Contributions,,Species at Risk Public Registry - The Interdepartmental Recovery Fund Program (registrelep-sararegistry.gc.ca),https://www.registrelep-sararegistry.gc.ca/default.asp?lang=En&n=0944990C-1&pedisable=true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISBM,Individual Stock-Based Management,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISC,Inside Southern Chum,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITQ,Individual Fishing Quota,Spill Response Plan (SRP) Glossary of Terms and Acronyms ,SRP Appendix 14 - Glossary of terms and acronyms | Intranet - Pacific Region (dfo-mpo.ca),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEC,Joint Enforcement Committee,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Pacific Region Committees ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSIDS,Adult sockeye index data set,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSIDS,Juvenile sockeye index data set ,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KREST,Kept and Released Estimation Survey Tool,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAER,Low Abundance Exploitation Rate,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGS,Lower Strait of Georgia,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOA,Letter of Agreement,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRP,License Retirement Program,Erin Morgan's List of Acronyms ,../../../../../../../../../:x:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/01 - Salmon Program Implementation and Performance/Acronyms.xlsx?d=w4ff3ea052fc849b78a6031d32f42eb17&csf=1&web=1&e=MrXHRG,DFO Branch/Division/Program/Area,,Pacific Salmon Commercial Licence Retirement Program | Pacific Region | Fisheries and Oceans Canada (dfo-mpo.gc.ca),https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/comm-licence-retirement-retrait-permis/index-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRP,Limit Reference Point,DFO Wild Salmon Policy Implementation Plan - Annual Report 2020 to 2021,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/annual-annuel/2020-2021-eng.html,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Management Adjustment,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCT,Marine Conservation Targets,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEQ ,Marine Environmental Quality,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCI,Management and Evaluation of River Catch Information,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM,Marine Mammals,Spill Response Plan (SRP) Glossary of Terms and Acronyms ,SRP Appendix 14 - Glossary of terms and acronyms | Intranet - Pacific Region (dfo-mpo.ca),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPA,Marine Protected Area ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPATT,Marine Protected Area Technical Team,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRP_ARCH,Mark Recovery Program - Archive,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRP_DE,Mark Recovery Program - Data Entry Interface - Database Component,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRP_SYS,Mark Recovery Program - System ,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSDI ,Marine Spatial Data Infrastructure,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSE,Management Strategy Evaluation,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSP,Marine Spatial Planning ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSY,Maximum Sustainable Yield,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU,Management Unit,DFO Wild Salmon Policy Implementation Plan - Annual Report 2020 to 2021,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/annual-annuel/2020-2021-eng.html,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVI,Mid Vancouver Island,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCA,North Coast Area,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETS/FILETS,National Enforcement Tracking Systems ,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHQ,National Headquarters,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMCA,National Marine Conservation Area ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMCAR,National Marine Conservation Area Reserve,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOLS,National Online Licensing System,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPAFC ,North Pacific Anadromous Fisheries Commission,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,External Committee/Board/Panel etc.,,NPAFC – North Pacific Anadromous Fish Commission,https://npafc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFC ,North Pacific Fisheries Commission,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,External Committee/Board/Panel etc.,,The North Pacific Fisheries Commission (NPFC) | NPFC,https://www.npfc.int/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRKW ,Northern Resident Killer Whale,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRLS,National Recreational Licensing System,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSB,Northern Shelf Bioregion,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSLIS,National Special Licence Issue System,Spill Response Plan (SRP) Glossary of Terms and Acronyms ,SRP Appendix 14 - Glossary of terms and acronyms | Intranet - Pacific Region (dfo-mpo.ca),Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSLIS,National Special Licensing Issuance System,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NuSEDS,Salmon Escapement Data System,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWA,National Wildlife Area,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPS,Operations and Planning Committee,DFO Pacific Region Committees ,https://intranet.ent.dfo-mpo.ca/pac/en/pac-committees,Pacific Region Committees ,Sandra Yuen,Operations and planning committee | Intranet - Pacific Region (dfo-mpo.ca),https://intranet.ent.dfo-mpo.ca/pac/en/executive-xchange/ops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD,Ocean Sciences Division,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,About the Pacific Region Science branch | Intranet - Pacific Region (dfo-mpo.ca),https://intranet.ent.dfo-mpo.ca/pac/en/node/1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTOLITH_LAB,Otolith Laboratory Reader,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTOLITH_ONLINE ,Otolith Online Manager,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,Precautionary Approach,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAC_ADMIN,PAC ADMIN (Pacific Single-Sign-On User Access - Administrative Application),Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACHARV3,Pacific Harvest System 3.0,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACSEARCH,PacSearch - Licensing Data Portal and Vessel Hail in/Hail out Reporting,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PADS,Pacific Age Database System,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaRR,Pacific Region Restoration Tracker,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARR ,Program for Aquaculture Regulatory Research,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,DFO Branch/Division/Program/Area,,Program for Aquaculture Regulatory Research – Program information (dfo-mpo.gc.ca),https://www.dfo-mpo.gc.ca/aquaculture/parr-prra/index-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATS,Policy Advice and Treaty Support,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBT,Parentage Based Tagging ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCO,Privy Council Office,Erin Morgan's List of Acronyms ,../../../../../../../../../:x:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/01 - Salmon Program Implementation and Performance/Acronyms.xlsx?d=w4ff3ea052fc849b78a6031d32f42eb17&csf=1&web=1&e=MrXHRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD,Program Delivery,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pDBE,Proportional Difference Between Estimates,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFMA,Pacific Fisheries Management Areas,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICC,Pacific Indigenous Coordinating Committee,DFO Pacific Region Committees ,https://intranet.ent.dfo-mpo.ca/pac/en/pac-committees,Pacific Region Committees ,"David Didluck /
Megan Brown",DFO and GoC Reconciliation committee governance | Intranet - Pacific Region (dfo-mpo.ca),https://intranet.ent.dfo-mpo.ca/pac/en/node/1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICFI,Pacific Integrated Commercial Fisheries Initiative,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,Pacific Integrated Commercial Fisheries Initiative | Pacific Region | Fisheries and Oceans Canada (dfo-mpo.gc.ca),https://www.pac.dfo-mpo.gc.ca/fm-gp/picfi-ipcip/index-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLC,Pacific Litigation Committee,DFO Pacific Region Committees ,https://intranet.ent.dfo-mpo.ca/pac/en/pac-committees,Pacific Region Committees ,Heather Dempsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLS,Pacific Licensing System,Pacific Region Data Inventory ,,Pacific Region Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pMA,Proportional Management Adjustment,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNCIMA,Pacific North Coast Integrated Management Area ,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSARC,Pacific Scientific Advice Review Committee,Pacific Salmon - Glossary,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/gloss-eng.html,Pacific Region Committees ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSC ,Pacific Salmon Commission,DFO Science Onboarding Handbook ,../../../../../../../../../:b:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/04 - Strategic Salmon Data Policy and Analytics/03 - Admin/01 - Staff Orientation/1. Onboarding_Handbook_IOS_2022.pdf?csf=1&web=1&e=XOfGGv,External Committee/Board/Panel etc.,,Home - Pacific Salmon Commission (psc.org),https://www.psc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSEC,Pacific Science Enterprise Centre,"RRAP, Reconciliation Action Plan List of Acronyms ",https://intranet.ent.dfo-mpo.ca/pac/en/node/2108,DFO Branch/Division/Program/Area,,Pacific Science Enterprise Centre (dfo-mpo.gc.ca),https://www.dfo-mpo.gc.ca/science/organization/sec-ces/pacific-pacifique/index-eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSESC,Pacific Salmon Executive Steering Committee,Erin Morgan's List of Acronyms ,../../../../../../../../../:x:/r/sites/PacificSalmonTeam/Shared Documents/General/02 - PSSI Secretariat Teams/01 - Salmon Program Implementation and Performance/Acronyms.xlsx?d=w4ff3ea052fc849b78a6031d32f42eb17&csf=1&web=1&e=MrXHRG,Pacific Region Committees ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSF,Pacific Salmon Foundation,DFO Wild Salmon Policy Implementation Plan - Annual Report 2020 to 2021,https://www.pac.dfo-mpo.gc.ca/fm-gp/salmon-saumon/wsp-pss/annual-annuel/2020-2021-eng.html,External Committee/Board/Panel etc.,,"Pacific Salmon Foundation « Salmon first, salmon always | PSF.ca",https://psf.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSM,Pre-Spawn Mortality,IFMP Southern Pacific Salmon 2022 - Glossary and List of Acronyms ,https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/4106110x.pdf,Environmental/Science Terminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
