Inventory_ID,Approved_By,Data_Asset_Name,Data_Asset_Steward,Data_Asset_Sorting_Category,Operational_Or_Analytical_Data,Data_Asset_Acronym,Data_Asset_Description,APM_ID,Non_Salmon_Data,Data_Asset_Status,Data_Asset_Format,Data_Type,Data_Asset_Location,Data_Asset_Trustee,Data_Asset_Custodian,Application_Data_Asset_Is_Associated_With,Application_Description,Technical_Documentation,Access_Point,Policy_Levers_Data_Asset_Supports,Key_Decisions,Impact_to_DFO_Data_Consumers,Decision_Supporting_Key_Products,Impact_on_Decision_Making,Uniqueness,Cost,Data_Asset_Size,Update_Frequency,Data_Standards,Metadata_Maturity,Data_Quality_Rating,Naming_Conventions,Security_Classification,Inbound_Data_Linkage,Outbound_Data_Linkage,Publication_Status,,,,,,,,,,,,,,,,,
55,,Management and Evaluation of River Catch Information,"Burnett, Karen
House, Patricia",1,Both,MERCI,"(Uses Local MS Access Database - Per Email from Cynthia Breau-Oct 2/14) This system provides data warehousing and weekly catch statistics for roving and access site creel surveys. MERCI has been used successfully since 1998 by Fisheries and Oceans Canada to assist with in-river catch monitoring and is now an integral part of DFO’s management of First Nations chinook and sockeye salmon fisheries on the Fraser River.
http://essa.com/tools/merci/
Data could be manually entered into KREST in the future",,Yes,Production,MS Access,,Desktop/Shared Drive,Fraser and Interior Area Resource Management,"House, Patricia
Burnett, Karen",,,"Data user manuals, tutorial, review of how the software operates and recommendations for improvements",Software centre download,Harvest - Indigenous,"Harvest reporting for Indigenous fisheries, to determine if fisheries should continue or close.","FIA Resource Managers and Biologists
Stock Assessement",In-season and end of season PST reporting and other reporting needs,10,Yes,1,2 to 5,Daily,Yes,No,High,Yes,Protected B,,FOS (manually entered),"Yes
DFO Fraser Salmon Bulletin
Also DFO website
Used in PST reports",,,,,,,,,,,,,,,,,
57,,Mark Recovery Program - Archive,"Komick, Nicholas",1,Operational,MRP_ARCH,"Storage and indexing of scanned field document images from numerous field sampling and catch monitoring programs. Supports transparency of the analytical outcomes to the raw data source. May also fit into category 5 data asset - semi-structured scans, but also provides indexing with metadata for files.",1111,No,Production,Oracle database,Semi-structured,DFO Server,"Science Salmon Assessement (Star) - Holmes, John","Komick, Nicholas
Fraser, Kathryn",R scripts to import and query data,R scripts to import and query data,"Draft document (Nick K) same as MRP-SYS; limited info on MRP-ARCH
https://086gc-my.sharepoint.com/:w:/g/personal/nicholas_komick_dfo-mpo_gc_ca/EQnDzuWApeVIlJaCW9GsJ74Bzut_hLm6i9EXHs4taC2L2Q?e=5WJzNU","Protected, limited to data managers with Oracle access. Managers can manually share images if requested.",Integration - Multiple,Raw data that supports decisions based of MRP-SYS.,Science (core and area based),N/A,"10-20
*lose ability to review data quality",No,0.25,1000,Daily,Yes,No,Medium,Yes,Protected B,N/A,N/A,No,,,,,,,,,,,,,,,,,
59,,Mark Recovery Program - System ,"Komick, Nicholas",1,Both,MRP_SYS,"Provide estimates of salmon indicator stock (coded wire tag) specific impacts on chinook and coho across fisheries/sector strata and international reporting of summary information to meet Pacific Salmon Treaty obligations. Contains Canada and replicates US data and SEP data related to tagging, releasing, sampling, and recovery of coded wire tags.
The Mark Recovery Program (MRP) was initiated in the 1970s to monitor the catch of Chinook and Coho salmon. It is one the largest mark-recapture and ecological monitoring programs in the world with over 100xxxxxx fish tagged with coded wire tags (CWTs) every year. The MRPIS imports data from multiple Chinook and Coho catch monitoring sources to provide an estimate of fishery impacts on CWT indicator stocks. In addition to integrating the data, there area are numerous quality assurance steps to ensure the quality and completeness of the data published within the MRPIS to fulfill Canadian’s obligations under the Pacific Salmon Treaty (PST)",1107,No,Production,Oracle database,Structured,DFO Server,"Science Salmon Assessement (Star) - Holmes, John","Komick, Nicholas
Fraser, Kathryn","1. MRPCore (R-package)
2. Mark Recovery Program - Extractor - MRP_EXTRACT APM 686 
3. Mark Recovery Program - Web Services - MRP_WS APM 1108
4. Mark Recovery Program - Data Entry Interface - Database Component","1. R-package that implements the data management and analytical to integrate catch monitoring and CWT release data
2. Web-based reporting tool to provide summary or detailed ad-hoc custom query results from specified larger dataset. Security - unprotected data. 
3. A suite of web-based user-centric information interfaces for accessing salmon stock information provided by the MRP System (MRP SYS). Security -  unprotected data.
4. Data entry interface","Draft document (Nick K) is working on to ensure knowledge transfer if change in personal.
https://086gc-my.sharepoint.com/:w:/g/personal/nicholas_komick_dfo-mpo_gc_ca/EQnDzuWApeVIlJaCW9GsJ74Bzut_hLm6i9EXHs4taC2L2Q?e=5WJzNU","Protected, limited to data managers with Oracle access. DFO users would access the MRP-WS and/or MRP_EXTRACT",Integration - Multiple,Meeting PST treaty obligations through reporting Canada's impacts on key Chinook and Coho stocks in the treaty.,"Science (core and area based), SEP, R&P, FM (fishery managers) PSC","Canada/US explotation rate analysis https://www.psc.org/download/35/chinook-technical-committee/14594/tcchinook-22-03.pdf
*used to support treaty obligations
Forcasting (uses exploation rate report to inform the forecast)
https://www.psc.org/publications/technical-reports/technical-committee-reports/chinook/
Stock assessment reports (state now)
Domestic and international forecasting (what happens in future years)
Salmon Outlook 
Hatchery production planning
Fishery Management/Regulations",~75,No,1.5,100,Weekly,Yes,No,High,Yes,Protected B,"FOS, CREST, EPAD",N/A,"Yes
US Regional Mark Information System. 
https://www.rmpc.org/",,,,,,,,,,,,,,,,,
60,,National Online Licensing System,"Pilon, Mélanie",1,,NOLS,"NCR - National System - not Pacific region managed data asset
2018-12-18 This is a national web-based system that applies to holders of commercial & recreational fishing licences managed by Fisheries and Oceans Canada. The system allows external users to view holdings, pay fees using GoC RGBB, to view and print licences and other fishing documents, and to submit licensing-related requests to DFO for action. An internal Smart Client Windows application allows DFO staff members to view and action tasks and fisher requests. External interfaces include: - GCKey & eAccess for authentication - Goc RGBB for payment of fees - processing of bank payment files for fees paid at banking institutions, - links to 6 regional systems that allows the passing of fees owing & completed licensing document to NOLS - passing paid fees from NOLS to the regional systems. Servers supported by APS team. R1296427",729,,Production,.Net Framework,,DFO Server,NCR: Fisheries and Harbour Management_Fisheries Resource Management,"Tassell, Bryn / ",National Online Licensing System - NOLS,,,,Harvest - Multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,National Recreational Licensing System,"Emma Fisher, A/Project Officer and Manager of Recreational Licensing Unit, Business Client Services",1,Operational,NRLS,National Recreational Licensing System (NRLS) A public facing licensing system which allows sport fishermen to buy recreational fishing licenses on the internet. There is a public internet site where people can buy a license. It includes a link to an online credit card processing company called Chase Paymentech (e-xact).,730,Yes,Production,Oracle database,Structured,DFO Server,Salmon Management and Client Services - Business and Client Service ,Bryn Tassell,"1. National Recreational Licensing System - NRLS Public APM 730
2. KREST - APM 355
3. National Recreational Licensing System - DFO Administrative Application - NRLS ADMIN APM 731
4. Fishery Notice System APM 525
5. PacSearch APM 1013
6. PacAdmin","1. Same as datebase
2. The Kept and Released Estimation Survey Tool - gathers catch data from NRLS and other systems
3. An internal administration system for the National Recreational Licensing System (NRLS) which allows the Pacific Licensing Unit's licensing staff to view and generate reports on the NRLS data, and to manage sport fishermen user records.
4. Public Fisher Notification System - linked to NRLS to send updates to Indpendent Access Providers when new notices are posted
5. A common search tool that allows DFO users to search various licencing and licencing related datasets in a single place
6. A single signon solution for managing user roles and permissions","NRLS Admin Procedures, NRLS IAP Manual, SOP for Client Service Officers, NRLS Pacific Region SOP, Architect diagram, Technical Application Documentation",http://dfonk1awvasp043/nrls-sndpp-admin/index.cfm?event=;,Harvest - Recreational,Used to issue licenses and enforcement ,"Conservation and Protection
iRec report ",* small amount of catch data reported through licensees,N/A,No,3,8.3,Real-time,Yes,Yes,High,Yes,Protected A,"PAC Admin
NRLS Admin","KREST
NRLS Admin
Fishery Notice System
PacSearch",https://www.pac.dfo-mpo.gc.ca/fm-gp/rec/licence-permis/stats-eng.html,,,,,,,,,,,,,,,,,
62,,National Special Licensing Issuance System,"Andria Charette 
",1,Operational,NSLIS,"Provides functionality to handle the issuance of Section 52 licences (EO, Demo, test, FSC, research etc) and acts as a central repository for all Pacific region S52 licences to allow for ease of reporting given recent Larocque and APPFA court decisions.
NSLIS tables are located in PLS",733,Yes,Production,Oracle database,Structured,DFO Server,Salmon Management and Client Services - Business and Client Service ,"Esenam, Fifi",Pacific Licensing System - PLS,See PLS description,"Technical diagrams for PLS, user manual (outdated)",http://paccfprodin/nslis/index.cfm,Harvest - Multiple,NLSIS used to issue the licenses,"If PLS goes down, NSLIS impacted. NSLIS tables sit in PLS.",N/A,"N/A relies on PLS. When connection to FOS goes live, FOS operations impacted.",No,,,Real-time,Yes,Yes,High,Yes,Protected A,PLS,"PLS, PACSEARCH, FOS (test phase NSLIS send EO and FSC to FOS)",No,,,,,,,,,,,,,,,,,
63,,National Enforcement Tracking Systems ,"Melanson, Lise",1,,NETS/FILETS,"National System
Refresh of legacy systems DVS and FEATS combined into one integrated system.
Rename CES to NETS-FILETS in fall 2020 as per Business decision.
R1294355 - Moved under product C&P APPS
2021-03-15: BBelleyM : Changed Responsible Service Departement.  Was ITSD tier1; changed for EFM app maintenance NFL
NETS went into production: April 5, 2021.",407,Yes,Production,Oracle database,,,Fisheries and Harbour Management - Fisheries Resource Management,"Lee, Patsy / ",National Enforcement… - NETS,,,,,,,,,,,,,,,,,,"DVS, FEATS",,,,,,,,,,,,,,,,,,,
,,Fraser Petersen Mark-Recapture databases,Tracy Cone (SDC),1,Operational,-,"MS Access databases specific to annual Petersen Mark-Recapture projects conducted throughout the Fraser watershed, from early 1990's to present, covering Sockeye, Chinook, Chum and Pink. Used to compile data for bias testing and escapement analysis.",N/A,No,Production,MS Access,Structured,Desktop/Shared Drive,Fraser and Interior Area,"Group asset, no one custodian",Fraser Petersen Mark-Recapture databases,Same as db,Internal User Guides,"Shared drive access, restricted permission",Harvest - Multiple,"Forcasting that supports harvest limits, PST requirements, stock status assessments etc.
Support accurate escapement estimates, informs models used for forecasting. Some in-season data provided such as recapture data but not primary purpose. ","Science
Area-based programs
Information/products produced by database is used, not the database directly ",Feeds into escapement summary datasets (NuSEDS tables by year),0-20,Yes,"Data: Irreplaceable & entry cost high
Database: $0.25 Million ",,Annually,Yes,No,High,Yes,Unclassified,No,"MACH II - tool for bias testing and statistical analysis (data also ends up in NuSEDS thorugh Fraser Sockeye Escapement Database)
",No,,,,,,,,,,,,,,,,,
70,,Pacific Age Database System Pacific Salmon Aging Results ,"Brenda Ridgway
",1,Operational,PADS/MRP_DE,"Data entry and results of fish age determination.
Not published to the FGP, Open Data ID ODI-2017-0578",1105 (will be retired) & 1110 (new system),No,"Production
*Targeted decomissioned in 2025",Oracle database,Structured,DFO Server,"Science Salmon Assessement (Star) - Holmes, John","Brenda Ridgway
Fraser, Kathryn
Komick, Nicholas (Technical Lead)","Salmon Escapement Data System - NuSEDS, Pacific Age Database System - PADS",,"User Manual - Brenda Ridgway
Contact Vicky Wang (IM/TS responsibility)","Updated link - http://pac-salmon.dfo-mpo.gc.ca/CwtDataEntry/#/AgeBatchList
PADS -  http://vsbciosxp38.ent.dfo-mpo.ca:7010/pads_prod/PADS
NUSEDS query - http://pac-salmon.dfo-mpo.gc.ca/Nuseds.Query/#/Query",Integration - Multiple,"Stock assessments and fishery allocations, openings and closures; international and domestic stock assessments","Science (core and area based), SEP, R&P, FM (fishery managers) PSC","Stock assessment reports (state now)
Domestic and international forecasting (what happens in future years)
Salmon Outlook 
Hatchery production planning
Fishery Management/Regulations",Not replaceable,No,0.5,"
0.3",Daily,Yes,No,High,Yes,Protected A,no,NuSEDS -Extractor,"Yes
Open Data ID ODI-2017-0578",,,,,,,,,,,,,,,,,
72,,Pacific Harvest System 3.0,"Yu, Faith (SDC)",1,Both,PACHARV3,Pacific Region's database for storing commercial sale and catch information from fish slips submitted to DFO. ,811,Yes,Production,Oracle database,Structured,DFO Server,FM - Integrated Fisheries Data,"Souliere, Allen
Yu, Faith","1. Pacific Harvest System 3.0 - PACHARV3
2. PACHARV3 Data Entry Application",2. Used to manually enter data into PACHARV3,"System documentation (in Confluence), user manual   ",Oracle db connection in MS Access,Harvest - Commercial,"Used to validate landed catches, enforcement, compliance checks, investigations, evidence in court, econommic analysis, reporting needs","Policy, C&P, FM","C&P Section 30 documents
Annual Reports - Ex. Informs BC Seafood Year in Review 
NHQ Status Updates for Briefings - informs on fisheries economic status",30-50,Yes,,~10 GB,Real-time,Yes,Yes,Medium,Yes,Protected B,"RefData, FOS (fishery openings), GFFOS, logbook (red urchin, geoduck logfiles), PLS (e.g. vessels licensing, ports, fishery types, parties, etc)","CSRS, FOS",No  ,,,,,,,,,,,,,,,,,
73,,Pacific Licensing System,"Daniel Mah, A/ Manager of Commercial and Aquaculture Licensing Unit, Business Client Services",1,Operational,PLS,Pacific Region's commercial fishing licencing system - Legacy system,813,Yes,Production,Oracle database,Structured,DFO Server,Ecosystems and Fisheries Management,"Esenam, Fifi","Pacific Licensing System - PLS 

",1. Same as db component ,None available - DM,http://vsbciosxp38.ent.dfo-mpo.ca:8888/forms/frmservlet?config=PLS,Harvest - Multiple,"Used in fisheries management licensing services, to determine eligibility. ","Fisheries Management - C&P, Pacific Fisheries Licensing Unit (PFLU)",,95-100,No,,,Real-time,Yes,Yes,High,Yes,Protected B,NOLS,"NOLS, Pac Fish, NSLIS, FOS, QMS","No, https://www-ops2.pac.dfo-mpo.gc.ca/vrnd-rneb/index-eng.cfm?pg=VRNdirSelect",,,,,,,,,,,,,,,,,
78,,Pacific Region Restoration Tracker,"Forysinski, Krista, Mahara, Natalie",1,Analytical,PaRR,"Built to consolidate project information to improve tracking, assessment, and reporting across DFO and formal external restoration partnerships.
Includes the following G&C programs: Aquatic Ecosystems Restoration Fund (AERF), Aboriginal Fund for Species at Risk (AFSAR), Aquatic Habitat Restoration Fun (AHRF), British Columbia Salmon Restoration and Innovation Fund (BCSRIF), Canada Nature Fund for Aquatic Species at Risk (sometimes referred to as the Nature Legacy Fund (CNFASAR), Coastal Restoration Fun (CRF), Fish Habitat Restoration Initiative (FHRI), Habitat Stewardship Program (HSP), Ghost Gear Fund, Indigenous Habitat Participation Program (IHPP), Recreational FIsheries Conservation Partnerships Program (RFCPP), Salmonid Enhancement Program (SEP)
2061 records (2015-2021), 58 columns of data
",N/A,Yes,Indevelopment,Excel ,Structured,Desktop/Shared Drive,Ecosystem Management Branch & PSSI Stewardship Directorate,N/A,N/A,N/A,Data Governance and Reporting Framework for the Pacific Region Restoration Tracker (internal); provides info on where information is coming from etc.,Contact Data Stewards for access,Conservation & Stewardship - Multiple,* PaRR provides summary information to communicate restoration activities to internal and external groups,"Ecosystem Management Branch & PSSI Stewardship Directorate
EMB - SARP","No
* In past SEP Annual Report pulled info from PaRR",15%,No,0.2,120,Quarterly,Yes,No,Medium,Yes,Protected A,N/A,N/A,No,,,,,,,,,,,,,,,,,
79,,Pacific Region Salmon Coded Wire Tagging Projects.,"Fraser, Kathryn
Komick, Nicholas",1,,,Same as row 28 MRP_SYS,,,,Oracle database,Structured,DFO Server,Ecosystems and Ocean Science,,Mark Recovery Program - System - MRP_SYS,,,,,,,,,,,,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,
81,,Pacific Salmon Coded Wire Tag Lab Results,"Fraser, Kathryn
Komick, Nicholas",1,Operational,MRP_DE,"Web-based data collection interfaces and associated database for entry of reporting of salmon coded wire tag lab results.
MRP_DE database in both this row and PADS row, they have separate interfaces but back end database with results.",1110,No,Production,Oracle database,Structured,DFO Server,"Science Salmon Assessement (Star) - Holmes, John","Brenda Ridgway
Fraser, Kathryn
Komick, Nicholas (Technical Lead)",no,no,"Protocol documents for lab (lab user manual)
No user manual for read-only role
Working on some video training",http://pac-salmon.dfo-mpo.gc.ca/CwtDataEntry/#/BatchList,Integration - Multiple,"Stock assessments and fishery allocations, openings and closures; international and domestic stock assessments","Science (core and area based), SEP, R&P, FM (fishery managers) PSC","Stock assessment reports (state now)
Domestic and international forecasting (what happens in future years)
Salmon Outlook 
Hatchery production planning
Fishery Management/Regulations",100,No,0.5,0.2,Daily,Yes,No,High,Yes,Unclassified,no,"Mark Recovery Program - System - MRP_SYS
EPAD",Not directly,,,,,,,,,,,,,,,,,
83,,PICFI/ATP Voluntary Licence Relinquishment  Database (PICFI-AFR),"Pauls, Guinevere (Licensing)",1,Operational,No,"This access database is used to data enter information collected from applicants who wish to potentially relinquish the commercial party based and vessel based licence(s) through the Pacific Integrated Commercial Fisheries Initiative (PICFI)/Allocation Transfer Program (ATP) Voluntary Relinquishment program. This database includes information related to licences/quota for treaty, reconcilliation aggreement and rights based fisheries. The database is used for each round of the program that is had and provides the ability to review the data collected to assess the range of offers provided over a period of time. This is used internally only.  Once the program finishes app will be retired. (this program is ongoing)",N/A,Yes,Production,MS Access,Structured,Desktop/Shared Drive,Business Client Services,"Guinevere, Pauls",Same as db,N/A,None,Running off data steward's desktop; backed up to Shared Drive,Harvest - Commercial,Use to determine maket value of licenses to purchase license from commercial harvester (reliquisment) to convert to F license.,"PICFI, ATP, mitigation, client services, FM",None,70,No,0.05,0.00194,Real-time,Yes,No,High,Yes,Protected B,PLS,No,No,,,,,,,,,,,,,,,,,
,,Cross Program Data Tool ,"Susnik, Ann  (PICFI)                          Zhoo, Yeon (PICFI)                                    Jeffrey, Karen (ATP)                                 Mbarushimana, Jenny (PICFI) lauren lavigne, beverly carpenter
 ",1,Both,CPDT,"This data tool holds entirety of licences and quotas relinquished with ATP/PICFI/Treaty/Reconcilliaiton Funds and converted to communal commercial access (F licences). This is used internally only.
*New database will be ready in next 6 months - follow-up on type of database, location, IM/TS managed?",N/A,Yes,Production,Excel,Structured,Desktop/Shared Drive,R&P,"Zhoo, Yeon (PICFI)",Same as db,N/A,No,"Shared drive access, restricted permission",Harvest - Indigenous,Distribution/allocation of communal commercial access ,"Licensing, P&EA, R&P ",CPDT data support senario notes and decisions on communal commercial access and performance measures of program i.e. amount of quota etc.,50,Yes,0.1,0.0022,Quarterly,Yes,No,High,No,Confidential,No,No,No,,,,,,,,,,,,,,,,,
85,,Program Activity Tracking for Habitat,"Ziai, Chad",1,Both,PATH,"NCR - National System - not Pacific region managed data asset
The Program Activity Tracking for Habitat (PATH) system is a national computer system designed, developed, supported and managed by the Fish and Fish Habitat Protection Program within the Ecosystems Management Directorate in the Ecosystems & Fisheries Management sector of the Department of Fisheries and Oceans.
The PATH system has two primary purposes. They are:
1.	for Fish and Fish Habitat Protection Program staff to have one national system to collect, share and report information on key activities of the Fish and Fish Habitat Protection Program; and, 
2.	for Fish and Fish Habitat Protection Program and other DFO sector/program staff to collect data, share and report on reviews related to Section 82 of the Impact Assessment Act (formerly section 67 of the Canadian Environmental Assessment Act, 2012), for projects occurring on federal land. It is a system, VB.Net application tied to a oracle database
External process pulls data from PATH and feeds FA Registry.

",842,Yes,Production,Oracle database,Structured,DFO Server,NCR - Aquatic Ecosystems - Ecosystems Management,"Matthew, Darby
Oksana, Korol","Program Activity Tracking for Habitat - PATH
Fishery Act Registery","Fishery Act Registery: public facing Registry to provide public access to records relating to fish and fish habitat protection and pollution prevention, including: Ministerial agreements, Standards and Codes of practice, Ministerial orders, Fisheries Act Authorizations, Permits for designated projects, Fish habitat restoration plans","Database design, old visio diagram, data dictionary, data entry protocols",http://path-saph.nat.dfo-mpo.gc.ca/default_e.asp,Not defined,Informing decisions on if to authorize projects under the fish habitat protections. Data supports annual reporting to parliament.,"Small craft harbours, species at risk, G&Cs","Supports reporting such as parliamentary reporting, registry etc.",,,,,Daily,,,,,Protected B,"NRCAN names database, CLAMS (species data)",Fishery Act Registry,"Yes
Open Data
Open Maps",,,,,,,,,,,,,,,,,
87,,PST Voluntary Salmon Troll Licence Retirement Database (PST VLR),,1,,,This access database is used to data enter information collected from applicants who wish to potentially retire the salmon troll licence(s) held on their vessel through the Pacific Salmon Treaty Voluntary Salmon Troll Licence Retirement program. The database is used for each round of the program that is had and provides the ability to review the data collected to assess the range of offers provided over a period of time. This is used internally only.  Once program finishes the app will be retired.,,,Decommissioned,MS Access,,Desktop/Shared Drive,"Not in APM, desktop based",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,Queen Charlotte Sound Synoptic Bottom Trawl Survey.,"Cornthwaite, Maria (Main Contact for groundfish databases)
Haggarty, Dana (Groundfish)
Hamilton, Shelee (SDC, Fishery and Assessment Data)",1,,,"Catch, effort, location (latitude, longitude), relative abundance indices, and associated biological data from groundfish multi-species bottom trawl surveys in Queen Charlotte Sound. Introduction - The Queen Charlotte Sound (QCS) synoptic bottom trawl survey was conducted annually from 2003 to 2005 and has since been repeated every second year on the odd-numbered years. This survey is one of a set of long-term and coordinated surveys that together cover the continental shelf and upper slope of most of the British Columbia coast.
Published in FGP and Open Data Inventory ID ODI-2018-0186",,,Production,Oracle database,,DFO Server,Ecosystems and Ocean Science,,,,,,,,,,,,,,Annually,,,,,,,,"Yes, Open Data",,,,,,,,,,,,,,,,,
91,,Queen Charlotte Sound Synoptic Bottom Trawl Survey.,"Cornthwaite, Maria (Main Contact for groundfish databases)
Haggarty, Dana (Groundfish)
Hamilton, Shelee (SDC, Fishery and Assessment Data)",1,,,,,,,Oracle database,,DFO Server,Ecosystems and Ocean Science,"Souliere, Allen / ",,,,,,,,,,,,,Annually,,,,,,,,,,,,,,,,,,,,,,,,,
92,,Quota Management System,"Keizer, Adam",1,,QMS,"Likely not relevant as not salmon related
Pacific Region's quota management system used by the Groundfish Management Unit to allocated and distribute quota to both commerical and recreational (halibut recreational) licences.",856,,Production,Oracle database,,DFO Server,,"Souliere, Allen / ",Quota Management System - QMS,,,,Harvest - Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,Reference Data System,"Yu, Faith (SDC)",1,Operational,REFDATA,"PacFish Reference Data Repository Database used to store data standards, common codes for synchronizing with other application systems located in the Pacific Region in order to ensure that systems are all using a consistent set of data standards and to facilitate roll-up and analysis of fisheries data across the region.",866,Yes,Production,Oracle database,Structured,DFO Server,FM - Integrated Fisheries Data,"Yu, Faith
Souliere, Allen",Reference Data System - REFDATA,,"Confluence (HTML pages, written entity diagrams, project scope)","Test: http://vsbciosxd36.ent.dfo-mpo.ca:7004/ordsdev/f?p=100:LOGIN
Production: http://vsbciosxp38.ent.dfo-mpo.ca:7006/ordsprod122/f?p=100:LOGIN:8227079703028:::::",Integration - Integration and Coordination,"allows storage, management and use of any structured data associated with the PacFish data standards (for species, gear, vessel, licence, etc)",FM,n/a,50-100,Yes,,,Ad-hoc,Yes,Yes,High,Yes,Unclassified,PacAdmin,"KREST, PacAdmin, PacHarv3, FOS, NRLS, NSLIS, CLAMS",No,,,,,,,,,,,,,,,,,
94,,Research biological sample and specimen data.,"Cornthwaite, Maria (Main Contact for groundfish databases)
Haggarty, Dana (Groundfish)
Hamilton, Shelee (SDC, Fishery and Assessment Data)",1,,,Groundfsh data that does not fall under ay of the bottom trawl surveys,,,,Oracle database,,DFO Server,Ecosystems and Ocean Science,"Fong, Kenneth / ",NuSEDS,,,,,,,,,,,,Weekly,,,,,,,,,,,,,,,,,,,,,,,,,
96,,Salmon Escapement Data System,"Kayla Suhan
Hamilton, Shelee (SDC) ",1,Analytical,NuSEDS,"Data entry and analysis of Pacific salmon escapement data. Not published in FGP, Open Government ODI-2016-0015
Salmon escapement data constitute important corporate knowledge which must be adequately maintained and accessible. The Salmon Escapement Database (NuSEDS) is the DFO Pacific Region’s central database that stores individual spawner survey data records, spawner abundance estimates and the linkages between the two. Annual abundance estimates are maintained by population, as defined by freshwater location and run timing. Each population is referenced to the location of the stream mouth. The watershed-coding system provides unique stream identification and incorporates the natural organization, direction, and hierarchical nature of stream channels and their tributaries.

The NuSEDS database currently reports salmon spawning observations for 9100+ individual populations but escapement estimates (all levels of survey intensity) are available for 9800+ populations.

This database contains historic population data starting in the 1920’s (older data for some rivers exists in other formats). Prior to 1995 a standardized form (BC-16) was used to summarize the estimate of the spawning population size, but the historical database lacked the capacity to describe the number of observations, individual counts or methods used to estimate the abundance of the population. In 1995, responsibility for salmon enumeration was moved to the DFO Science section. At that time, the database was re-written to include descriptive information for each abundance estimate, providing underlying data and the estimation method(s). Many of the historic estimates prior to 1995 are labeled Unspecified Returns because the database was limited to storing one estimate for any given stock. As time and resources permit these data are being replaced with more accurate categorization. With the introduction of the Wild Salmon Policy (2005), individual populations within NuSEDS can now be grouped by Conservation Unit.",1104,No,Production,Oracle database,Structured,DFO Server,Science - FADS,Kayla Suhan,"1. Salmon Escapement Data System - NuSEDS 1106
2. Salmon Escapement Data System - Data Extractor for Salmon Escapment, Fish Aging & Conservation Units - NuSEDS EXTRACT APM 
3. PADS Application
4. Stream Narrative: stream narrative conservation profiler and bulk uploader tool","1. Same as db
2. Data querying and reporting tool for salmon escapement (nuSEDS) , fish aging (PADS) and Conservation Units (CU) data (MRP Extractor-based)
3. See PADS description
4. Stream location, navigation and salmon spawning information","1. One Note document for SOP for data entry and upload (on escapement data management shared drive)
2. Paper documentation - Pacific Biological Station",URL: http://vsbciosxp38.ent.dfo-mpo.ca:7012/nuseds_prod/NUSEDS,Conservation & Stewardship - Multiple,"Forcasting run sizes, stock assessment, resource management decisions, wild salmon policy, COSEWIC, future prioritization work","Science (core and area based), SEP, R&P, FM (fishery managers) PSC","Forcasting - stock management unit (SMU) maps, Conservation unit maps (including status), salmon outlook (in progress)",~20,Yes,2,14,Quarterly,Yes,No,Medium,Yes,Protected B,PADS,"NuSEDS_RPT, NuSEDS_GIS, MRP, FOS","Yes
Open Data, OBIS, GBIF",,,,,,,,,,,,,,,,,
98,,Salmon ITQ - Area B and H,"Wanless, Madeline",1,Operational,,"Salmon Shares Database - Calculate and documents transfers of individual transfer quota (ITQ) for salmon fisheries for Areas: B and H (sockeye/pink and chum fisheries); with C & D set up however not actively used. Also manages Area H chum fishery (ITE) based on effort.
Additional information stored in a seperate database but used to manage ITQ fisheries: Dockside Monitoring (including area specific catch) Program information (of 3rd party service provider); vessel/licence information; catch and anticipated encounter rates for incidental catch. Provides a licence amendment.
Types of data: Species, Location, Abundance, Environmental Conditions, Water Quality, Conservation Units",N/A,No,Production,MS Access,Structured,Desktop/Shared Drive,Fisheries Management,"Garard, Scott (contractor)",No,N/A,"Installation instructions, may be old user ID and passwords",Run on local workstation and data backed up to shared drive,Harvest - Commercial,Used manage the ITQ fisheries.,Fisheries Management,Operational reports stored within access database that show licensee over quota etc.,100,No,N/A,0.2,Real-time,Yes,No,High,Yes,Protected A,"FOS_Hail, PLS (manual)",No,No,,,,,,,,,,,,,,,,,
99,,Salmon ITQ - Area A,"Lord, Karlena",1,Operational,,"Salmon Shares Database - Calculate and documents transfers of individual transfer quota (ITQ) for salmon fisheries for Areas: A (sockeye fisheries); with C & D set up however not actively used. 
Additional information stored in a seperate database but used to manage ITQ fisheries: Dockside Monitoring (including area specific catch) Program information (of 3rd party service provider); vessel/licence information; catch and anticipated encounter rates for incidental catch. Provides a licence amendment.
Types of data: Species, Location, Abundance, Environmental Conditions, Water Quality, Conservation Units",N/A,No,Production,MS Access,Structured,Desktop/Shared Drive,Fisheries Management,"Garard, Scott (contractor)",No,N/A,"Installation instructions, may be old user ID and passwords",Run on local workstation and data backed up to shared drive,Harvest - Commercial,Used manage the ITQ fisheries.,Fisheries Management,Operational reports stored within access database that show licensee over quota etc.,100,No,N/A,0.2,Real-time,Yes,No,High,Yes,Protected A,"FOS_Hail, PLS (manual)",No,No,,,,,,,,,,,,,,,,,
