Agreement Database,Funding Sources,Region,Species,Project Stage,Ecosystem Type,Project Type,Project Sub-Type,Monitoring Approach,Project Theme,Salmon Life Stage,Project Core Element,Project Supportive Element,Links to other DFO programs,Links to other Government Organizations,Policy and Program Connections,Primary First Nation contact role,Programs used in analysis,Samples Collected,Element Title,yes/no,Outcomes Category,Data Quality Level,Outcome Sample Type,Agreement Type,Report Timeline,Report Type,SMU,Project lead Organization,Barriers to Sample Collection,Barriers to data checks/enter into database,Barrier to achieving outcomes?,What capacity building did this project provide?,Project Purpose,Lead Organization,Database,Data Products,Data Format,Planning Type,Field Work Type,Field Work Method,Sample Processing Type,Method Document Type,Objective Category,CU Name,CU Index,Primary River,Watershed Name,First Nations
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRASER CANYON,CO-17,Banks Lakes Creek,Lower Arrow Lake,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRASER RIVER,CO-18,Baptiste Creek,Lower Bell -Irving River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRASER RIVER MIGRATORY COUNTS<<BIN>>,CO-19,Barnard Creek,Lower Beatton River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRASER RIVER<<BIN>>,CO-20,Barnes Creek,Lower Chilako River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRED WRIGHT,CO-21,Barr Creek,Lower Chilcotin River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEDA/BRODIE,CO-22,Barrett Creek,Lower Dean River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULMORE,CO-23,Barriere River,Lower Eutsuk Lake,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEORGIA STRAIT,CO-24,Bates Creek,Lower Fraser,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEORGIA STRAIT MAINLAND,CO-25,Battle Bay River,Lower Fort Nelson River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GREAT CENTRAL/SPROAT<<BIN>>,CO-26,Bawden Creek,Lower Halfway River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAIDA GWAII-EAST,CO-27,Baxter Beach,Liard River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAIDA GWAII-NORTH,CO-29,Beach Creek,Lillooet,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,CO-30,Beale's Lagoon Creek,Lower Iskut River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HARRISON-UPSTREAM MIGRATING-LATE TIMING,CO-31,Beano Creek,Lower Kechika River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HARRISON RIVER,CO-32,Bear Beach - Lake Shore,Lakelse,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HARTLEY BAY,CO-33,Bear Creek,Lower Muskwa River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HECATE LOWLANDS,CO-34,Bear Lake,Lower Nass River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HECATE STRAIT-FJORDS,CO-35,Bear River,Lower Nicola River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HECATE STRAIT-LOWLANDS,CO-36,Beatty Creek,Lower Nechako Reservoir,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HECATE STRAIT MAINLAND,CO-37,Beaver Creek,Lower North Thompson River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HENDERSON,CO-39,Beaverlodge Creek,Lower Omineca River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HESQUIAT,CO-4,Beck Creek,Lower Peace River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEVENOR INLET,CO-41,Bedingfield Bay Creek,Lower Petitot River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEYDON,CO-45,Bedwell River,Lower Prophet River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HG-EAST,CO-47,Bedwell System,Little Rancheria River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HG-GRAHAM ISLAND LOWLANDS,CO-48,Beirnes Creek,Laredo Inlet,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HG-WEST,CO-5,Belcharton Creek,Lower Salmon River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGGINS LAGOON,CO-7,Beljay Bay Creek,Lower Sikanni Chief River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOBITON,CO-8,Bell-Irving River,Lower Skeena River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOMATHKO-KLINAKLINI-SMITH-RIVERS-BELLA COOLA-DEAN,CO-9,Bella Coola River,Lower Stikine River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOMATHKO-KLINAKLINI RIVERS,PKE-1,Belle Bay Creek,Lower Trembleur Lake,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOMATHKO_SU_x.x,PKE-10,Belowe Creek,Mahood Lake,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOWE SOUND-BURRARD INLET,PKE-2,Benson River,Middle Banks Island,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDA/BONANZA,PKE-4,Beresford Bay Creek,McGregor River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDIAN/KRUGER-EARLY SUMMER TIMING,PKE-5,Bern-Ann Creek,Middle Dease River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTERIOR FRASER,PKE-6,Bessette Creek,Mess Creek,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTERIOR FRASER<<BIN>>,PKE-7,Betty Frank'S - Lake Shore,Mesilinka River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JALUN,PKE-8,Big Bay Creek,Middle Fraser,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JANSEN,PKE-9,Big Creek,Middle Fort Nelson River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JOHANSON,PKO-1,Big Dog Creek,Middle River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JOHNSTON,PKO-10,Big Falls Creek,Milligan Creek,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUAN DE FUCA-PACHENA,PKO-11,Big Fish Creek,Middle Muskwa River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KADJUSDIS RIVER,PKO-12,Big Goose Creek,Morsby Island,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KAINET CREEK,PKO-13,Big Salmon River,Morkill River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KAKWEIKEN,PKO-14,Big Silver Creek,Morice River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KALUM-EARLY TIMING,PKO-15,Big Slide - Lake Shore,Middle Prophet River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KALUM-LATE TIMING,PKO-16,Big Slide - Lake Shore 1Km W,Middle Skeena River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KAMLOOPS-EARLY SUMMER TIMING,PKO-17,Big Tillhorn Creek,Middle Stikine River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANIM,PKO-18,Bill Creek,Murray River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDELMASHAN CREEK,PKO-19,Bill Miner Cr. - Lake Shore,Murtle Lake,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEECHA,PKO-2,Bill Miner Cr. - Lake Shore 3Km W,Muskeg River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KENNEDY,PKO-3,Bill Miner Creek,Nahlin River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KENT INLET LAGOON CREEK,PKO-4,Billy Creek,Nakina River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KENZUWASH CREEKS,PKO-5,Bingo Creek,Narcosli Creek,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KESWAR CREEK,PKO-6,Bird Cove Creek,Nascall River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KILDIDT CREEK,PKO-7,Birkenhead River,Nass River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KILDIDT LAGOON CREEK,PKO-8,Bish Creek,Nation River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIMSQUIT,PKO-9,Bishop Creek,Nazko River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KISAMEET,SEL-01-01,Bivouac Creek,North Banks Island,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KITKIATA,SEL-03-01,Black Creek,Necleetsconnay River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KITLOPE,SEL-03-02,Black Lake Creek,Nechako River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KITSUMKALUM,SEL-03-03,Black Rock Creek,Northeast Vancouver Island,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KITWANCOOL,SEL-03-04,Blackwater Creek,Nicola River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLINAKLINI_SU_1.3,SEL-03-05,Blaine Creek,Niel Creek,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLUATANTAN,SEL-03-07,Blanchard River,Nimpkish River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLUAYAZ,SEL-03-xx,Blanchette Creek,Okanagan River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLUKSHU,SEL-04-01,Blaney Creek,Ospika River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KOEYE,SEL-05-02,Blee Creek,Owikeno Lake,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KOORYET,SEL-06-01,Blind Creek,Parsnip Arm,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KUNSOOT RIVER,SEL-06-02,Bloods Creek,Parksville,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KUTHAI,SEL-06-03,Bloomfield Creek,Parsnip River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KWAKWA CREEK,SEL-06-07,Blowhole Creek,Peace Arm,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAKELSE,SEL-06-10,Blue Lead Cr. - Lake Shore,Pine River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEWIS CREEK,SEL-06-11,Blue Lead Creek,Pitman River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LILLOOET,SEL-06-13,Blue River,Porcher Island,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LILLOOET/HARRISON-LATE TIMING,SEL-06-14,Blueberry Creek,Quesnel River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIMESTONE CREEK,SEL-06-16,Blunt Creek,Revelstoke Lake,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LITTLE TRAPPER,SEL-06-20,Blurton Creek,Sahdoanah Creek,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LONG,SEL-07-01,Boat Harbour Creek,Sahtaneh River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOOSE,SEL-09-02,Bob Creek,San Jose River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOUGHBOROUGH,SEL-09-03,Boise Creek,Salmon River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOWE/SIMPSON/WEARE,SEL-09-xx,Bolean Creek,Salmon River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOWER FRASER,SEL-10-01,Bolin Bay Creek,San Juan River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOWER FRASER RIVER-UPPER PITT_SU_1.3,SEL-10-03,Bolton Creek,Seton Lake,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOWER FRASER RIVER_FA_0.3,SEL-11-01,Bonanza Creek,Seymour Inlet,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOWER FRASER RIVER_SP_1.3,SEL-11-02,Bonaparte River,Shekilie River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOWER FRASER RIVER_SU_1.3,SEL-11-03,Bond River No. 1,Sheslay River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOWER NASS,SEL-11-04,Bonell Creek,Shuswap Lake,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOWER NASS-PORTLAND,SEL-11-05,Bonsall Creek,Similkameen River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOWER SKEENA,SEL-11-06,Borden Creek,Skagit River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOWER STIKINE,SEL-11-07,Borrowman Creek,Slocan River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOWER THOMPSON,SEL-11-09,Boswell Creek,St. Mary River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOWER THOMPSON_SP_1.2,SEL-11-10,Botany Inlet Head Creek,Smoky River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MACKENZIE,SEL-12-01,Botany Inlet Outer Creek,Spatsizi River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAGGIE,SEL-12-02,Bottle Inlet Creek,Squamish,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARIA SLOUGH_SU_0.3,SEL-12-03,Bottleneck Creek,South Thompson River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARIAN,SEL-12-05,Boucher Creek,Stikine River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARY COVE CREEK,SEL-12-07,Bouchier Creek,Stuart Lake,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATHERS,SEL-13-01,Boughey Creek,Stuart River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCDONALD CREEK,SEL-13-02,Bouldery Cr. - Lake Shore,Sustut River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCDONELL,SEL-13-03,Bouldery Cr. - Lake Shore 2Km E,Swift River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCLOUGHLIN,SEL-13-04,Bouldery Creek,Tabor River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEGIN,SEL-13-05,Bowling Point,Tahltan River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MERCER,SEL-13-06,Bowling Pt. - Goose Pt.,Tahsis,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEZIADIN,SEL-13-07,Bowron River,Takla Lake,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLE-UPPER SKEENA,SEL-13-09,Bowser River,Taseko River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLE AND UPPER SKEENA,SEL-13-10,Boydell Creek,Tatshenshini River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLE FRASER,SEL-13-11,Bradley Creek,Taylor River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLE FRASER-FRASER CANYON_SP_1.3,SEL-13-12,Branch 10 Creek,Teslin River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLE FRASER RIVER-PORTAGE_FA_1.3,SEL-13-13,Branch 100 Creek,Thompson River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLE FRASER RIVER_SP_1.3,SEL-13-14,Braverman Creek,Toad River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLE FRASER RIVER_SU_1.3,SEL-13-15,Breaker Bay Creek,Toba Inlet,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLE SKEENA,SEL-13-16,Brem River,Toodoggone River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLE SKEENA-LARGE LAKES,SEL-13-17,Brem River Tributary,Tsaytis River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLE SKEENA-MAINSTEM TRIBUTARIES,SEL-13-18,Brennan Channel,Tsea River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLE YUKON RIVER,SEL-13-19,Bridge River,Tsitika River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLE YUKON RIVER AND TRIBUTARIES,SEL-13-20,Brim River,Turnagain River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIKADO,SEL-13-22,British Creek,Tutshi River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MONCKTON INLET CREEK,SEL-13-23,Brittain River,Tuya River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORICE,SEL-13-25,Brodick Creek,Twan Creek,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOTASE,SEL-13-26,Brohm River,Upper Arrow Lake,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUCHALAT,SEL-15-01,Bronson Creek,Upper Bell -Irving River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MURIEL,SEL-15-02,Brookfield Creek,Upper Beatton River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSSEL-KYNOCH,SEL-15-03,Brooklyn Creek,Upper Chilcotin River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NADINA/FRANCOIS-EARLY SUMMER TIMING,SEL-15-04,Brother Creek,Upper Dean River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAHATLATCH-EARLY SUMMER TIMING,SEL-17-01,Brothers Creek,Upper Eutsuk Lake,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAHWITTI,SEL-17-02,Brousseau Creek,Upper Fraser River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAHWITTI LOWLAND,SEL-17-03,Brown Bear Creek,Upper Fort Nelson River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMU,SEL-17-04,Brown Paint Creek,Upper Halfway River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NASS-PORTLAND-OBSERVATORY,SEL-17-06,Browns Cabin Creek,Upper Iskut River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NASS-SKEENA ESTUARY,SEL-17-07,Brundige Creek,Upper Jennings River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NESKATAHIN,SEL-17-08,Brundige Creek West,Upper Kechika River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIMPKISH,SEL-17-09,Brunette River,Upper Liard River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NITINAT,SEL-18-02,Buck Channel Creek #Eight,Upper Muskwa River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORDENSKIOLD,SEL-18-04,Buck Channel Creek #Five,Upper Nass River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH AND CENTRAL COAST-EARLY TIMING,SEL-18-05,Buck Channel Creek #Four,Upper Nechako Reservoir,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH AND CENTRAL COAST-LATE TIMING,SEL-18-06,Buck Channel Creek #One,Upper North Thompson River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH BARRIERE-EARLY SUMMER TIMING,SEL-18-07,Buck Channel Creek #Seven,Unuk River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH HAIDA GWAII,SEL-18-08,Buck Channel Creek #Six,Upper Omineca River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH HAIDA GWAII-STANLEY CREEK,SEL-18-09,Buck Channel Creek #Three,Upper Peace River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH THOMPSON,SEL-19-01,Buck Channel Creek #Two,Upper Petitot River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH THOMPSON_SP_1.3,SEL-19-02,Buck Creek,Upper Prophet River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH THOMPSON_SU_1.3,SEL-19-03,Buckingham Creek,Upper Shuswap,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH YUKON RIVER,SEL-19-04,Bughouse Creek,Upper Sikanni Chief River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHEAST VANCOUVER ISLAND,SEL-19-09,Buie Creek,Upper Skeena River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHERN COASTAL FJORDS,SEL-19-10,Bulbeard Channel,Upper Stikine River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHERN COASTAL STREAMS,SEL-19-11,Bulkley River - Lower,Upper Trembleur Lake,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHERN TRANSBOUNDARY FJORDS,SEL-19-14,Bulkley River - Upper,Victoria,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHERN YUKON RIVER AND TRIBUTARIES,SEL-19-17,Bulley Bay Creek,Willow River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHWEST VANCOUVER ISLAND,SEL-19-18,Bullock Channel #2 Creek,Work Channel,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NW VANCOUVER ISLAND,SEL-19-20,Bullock Channel #3 North Creek,Zymoetz River,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O'CONNELL,SEL-19-23,Bullock Channel #3 South Creek,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OKANAGAN_1.x,SEL-19-25,Bullock Channel Creeks,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OSOYOOS,SEL-19-26,Bullock Channel East Creek,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWEEGEE,SEL-19-27,Bulson Creek,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWIKENO,SEL-19-31,Burdick Creek,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWIKENO-LATE TIMING,SEL-19-32,Burman River,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWOSSITSA,SEL-19-33,Burnaby Narrows First R.H. Cr.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PACK,SEL-19-34,Burnaby Narrows Second R.H. Cr.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARK RIVER,SEL-19-36,Burnaby Straights Creek,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PELLY,SEL-19-38,Burnet Creek,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHILLIPS,SEL-19-40,Burton Creek,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PINE RIVER,SEL-19-43,Busey Creek,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PITT-EARLY SUMMER TIMING,SEL-19-45,Bush Creek,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PORCUPINE,SEL-19-46,Bush Creek - Lake Shore,,
