Theme,Sub-Theme,Priority for Research,Priority identification number (PIN),Additional information supplied by the client,Thème,Sous-thème,Priorité de recherche,Numéro d'identification de la priorité (NIP),Informations complémentaires fournies par le client
Fisheries science,Ecosystem approach in fisheries management,Effects of environmental variables on fish stocks,FS-03,"Determine the effect of environmental variables (i.e., climate, oceanographic and ecosystem factors) on fish stocks assessed by DFO
Develop and test analytical approaches that will facilitate the incorporation of EVs into stock assessments and science advice",Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,"Déterminer l’effet des variables environnementales (c.-à-d. facteurs climatiques, océanographiques et écosystémiques) sur les stocks de poissons évalués par le MPO.
Élaborer et mettre à l’essai des approches analytiques qui faciliteront l’intégration des VE aux évaluations des stocks et aux avis scientifiques.
"
Fisheries science,Ecosystem approach in fisheries management,Effects of environmental variables on fish stocks,FS-03,"Science support for the development and integration of ecosystem approaches in fisheries management
(i) Understanding of the dynamics of commercial stocks in relation to environmental factors, ecosystems and other fish species; impacts on stock productivity, distribution and migratory patterns of species (e.g., climate change, temperature changes in the aquatic environment, hypoxia, availability of prey, etc.);
(ii) Impact of climate change on the productivity, distribution and migratory patterns of species;
(iii) Quantification of the impact of predation on the main stocks of forage species (capelin, herring, mackerel, shrimp);
(iv) Integration of the results into the process for assessing the state of marine resources.",Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,"Soutien des sciences au développement et à l'intégration de l'approches écosystémique dans la gestion des pêches
i) Compréhension de la dynamique des stocks commerciaux  en lien avec les facteurs environnementaux, les écosystèmes et les autres espèces halieutiques; impacts sur la productivité des stocks, la distribution et les patrons migratoires des espèces (ex.: chnagement climatique, variation des températures du milieu aquatique, hypoxie; disponibilité des proies, etc; 
ii) Impact des changements climatiques sur la productivité, la distribution et les patrons migratoires des espèces;
iii) Quantification de l'impact de la prédation sur les principaux stocks d'espèces fourragères (capelan, hareng, maquereau, crevette); 
iv) intégration des résultats dans le processus d'évaluation de l'état des ressources marines."
Fisheries science,Ecosystem approach in fisheries management,Effects of environmental variables on fish stocks,FS-03,"Improving understanding of trophic interactions between predators and key prey species for species of commercial, recreational or cultural value (e.g. consumption rates of salmon by pinnipeds) 
",Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,"Améliorer la compréhension des interactions trophiques entre les prédateurs et les principales espèces-proies pour les espèces de valeur commerciale, récréative ou culturelle (p. ex. taux de consommation du saumon par les pinnipèdes).
"
Fisheries science,Ecosystem approach in fisheries management,Effects of environmental variables on fish stocks,FS-03,"Incorporation of species interactions and/or the consequences/impacts of these interactions (e.g. predation, competition, food limitation) into models and analyses used for the provision of stock and ecosystem advice, including potential trade-offs among interacting stocks.",Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,"Intégration des interactions entre les espèces et les conséquences ou répercussions de ces interactions (p. ex. prédation, concurrence, pénurie de nourriture) dans les analyses et les modèles utilisés pour fournir des avis sur les stocks et les écosystèmes, y compris les échanges potentiels entre les stocks en interaction."
Fisheries science,Ecosystem approach in fisheries management,Effects of environmental variables on fish stocks,FS-03,"Predator-prey dynamics and species interdependencies:  
a) key commercial forage species 
b) marine mammal-prey interactions                                                         ",Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,"Dynamique prédateur-proie et interdépendances entre les espèces : 
a) principales espèces fourragères commerciales;
b) interactions entre les mammifères marins et leurs proies.                         
                                                      "
Fisheries science,Ecosystem approach in fisheries management,Effects of environmental variables on fish stocks,FS-03,"Projecting environmental and ecosystem impacts of climate change to support adaptive management
a. Native species distributions
b. Non-native / potential invasive species distributions and impacts
c. Range expansions of boreal species",Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,"Projection des répercussions des changements climatiques sur l’environnement et les écosystèmes à l’appui de la gestion adaptative : 
a. répartition des espèces indigènes;
b. expansions des aires de répartition des espèces boréales.
"
Fisheries science,Ecosystem approach in fisheries management,Effects of environmental variables on fish stocks,FS-03,"Understanding and projecting environmental and ecosystem impacts of climate change to support adaptive management
a. Changes to marine productivity
b. Population dynamics of priority fish stocks
c. Changes to freshwater productivity",Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,"Compréhension et projection des répercussions des changements climatiques sur l’environnement et les écosystèmes à l’appui de la gestion adaptative : 
a. changements dans la productivité marine;
b. dynamique des populations des stocks de poissons prioritaires.
"
Fisheries science,Ecosystem approach in fisheries management,Effects of environmental variables on fish stocks,FS-03,Understanding the effects of ecosystem dynamics on major stocks and incorporating ecosystem and climate change considerations into stock assessment frameworks  ,Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,Comprendre les effets de la dynamique des écosystèmes sur les principaux stocks et intégrer les considérations relatives aux écosystèmes et aux changements climatiques aux cadres d’évaluation des stocks.
Fisheries science,Ecosystem approach in fisheries management,Effects of environmental variables on fish stocks,FS-03,"Understanding the effects of ecosystem dynamics, climate change, and human activities on fisheries",Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,"Comprendre les effets de la dynamique des écosystèmes, des changements climatiques et des activités humaines sur les pêches."
Fisheries science,Ecosystem approach in fisheries management,Effects of environmental variables on fish stocks,FS-03,"Yearly diet assessment of pinnipeds 
Baseline science to enhance understanding of ecological relationships and roles of marine mammals and their prey. Distribution data essential to understand areas of ecological and biological significance and support establishment of marine protected areas and Critical Habitat designations (e.g., blue, right and northern bottlenose whales, leatherback sea turtles)",Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Effets des variables environnementales sur les stocks de poissons,FS-03,"Évaluation annuelle du régime alimentaire des pinnipèdes.
Données scientifiques de base pour améliorer la compréhension des rôles et des liens écologiques entre les mammifères marins et leurs proies. Données sur la répartition essentielles pour comprendre les ZIEB et appuyer l’établissement d’AMP et de désignations des habitats essentiels (p. ex. rorqual bleu, baleine noire, baleine à bec commune, tortues luths)."
Biotech & Genomics,Novel products of biotechnology to support risk assessment,Efficacy of measures to prevent interactions between wild and novel strains (containment strategies).,BG-05,Developing and evaluating methods of biological containment to sterilize novel organisms to prevent their establishment in the wild and prevent genetic interactions with their wild counterparts.,Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,Efficacité des mesures visant à prévenir les interactions entre les souches sauvages et les souches nouvelles (stratégies de confinement).,BG-05,Mettre au point et évaluer des méthodes de confinement biologique pour stériliser les organismes à caractères nouveaux afin d’empêcher leur établissement dans la nature et prévenir les interactions génétiques avec leurs homologues sauvages.
Biotech & Genomics,Novel products of biotechnology to support risk assessment,Efficacy of measures to prevent interactions between wild and novel strains (containment strategies).,BG-05,"Evaluating mitigative strategies for limiting and/or preventing interactions between wild and novel aquatic animals. Following development, efficacy of containment is evaluated to identify suitability for preventing interaction of novel organisms, and whether methods would be of practical use outside of the laboratory. Data derived from these research priority will facilitate assessment of notified organisms intended for biological containment.",Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,Efficacité des mesures visant à prévenir les interactions entre les souches sauvages et les souches nouvelles (stratégies de confinement).,BG-05,"Évaluer les stratégies d’atténuation pour limiter ou prévenir les interactions entre les animaux aquatiques sauvages et ceux à caractères nouveaux. Après le développement, l’efficacité du confinement est évaluée pour déterminer s’il convient de prévenir l’interaction des organismes à caractères nouveaux et si les méthodes sont d’une utilité pratique en dehors du laboratoire. Les données issues de ces priorités de recherche faciliteront l’évaluation des organismes déclarés destinés au confinement biologique."
Biotech & Genomics,Novel products of biotechnology to support risk assessment,"Enabling risk assessment science through the identification, development and evaluation of appropriate novel aquatic animal models",BG-06,Conduct/update foresight research on new and emerging transgenic fish and new technologies (monitoring media and scientific literature). Activity driven from NCR with assistance from PSEC - informs research planning and risk assessment activities/preparatory work.,Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,"Favoriser des travaux scientifiques d’évaluation des risques par la définition, la mise au point et l’évaluation de modèles appropriés d’animaux aquatiques à caractères nouveaux.",BG-06,Mener et mettre à jour la recherche prospective sur les poissons transgéniques nouveaux et émergents ainsi que sur les nouvelles technologies (surveillance des médias et des publications scientifiques). Activité conduite depuis RCN avec l’aide du Centre d’entreprise scientifique du Pacifique – guide la planification de la recherche et les activités d’évaluation des risques ou les travaux préparatoires.
Biotech & Genomics,Novel products of biotechnology to support risk assessment,"Enabling risk assessment science through the identification, development and evaluation of appropriate novel aquatic animal models",BG-06,"Develop and maintain contained transgenic strains of aquatic animals to inform regulatory development: Ongoing.  In addition to maintaining live animal stocks, some novel strains and species are now preserved by cryopreservation for archiving and for future research as technology develops. These strains are critical for informing CEPA evaluations.",Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,"Favoriser des travaux scientifiques d’évaluation des risques par la définition, la mise au point et l’évaluation de modèles appropriés d’animaux aquatiques à caractères nouveaux.",BG-06,"Mettre au point et maintenir des souches transgéniques confinées d’animaux aquatiques pour éclairer l’élaboration de règlements : en cours. En plus du maintien des stocks d’animaux vivants, certaines souches et espèces nouvelles sont désormais préservées par cryoconservation à des fins d’archivage et de recherche future au fur et à mesure des développements technologiques. Ces souches sont essentielles pour éclairer les évaluations de la Loi canadienne sur la protection de l’environnement."
Biotech & Genomics,Novel products of biotechnology to support risk assessment,"Enabling risk assessment science through the identification, development and evaluation of appropriate novel aquatic animal models",BG-06,"Evaluating environmental parameters required for growth, survival and overwintering of novel fish, particularly those that are not native to Canada to determine invasive potential to inform CEPA evaluations.",Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,"Favoriser des travaux scientifiques d’évaluation des risques par la définition, la mise au point et l’évaluation de modèles appropriés d’animaux aquatiques à caractères nouveaux.",BG-06,"Évaluer les paramètres environnementaux nécessaires à la croissance, à la survie et à l’hivernage des poissons à caractères nouveaux, en particulier ceux qui ne sont pas indigènes au Canada, afin de déterminer le potentiel d’invasion pour éclairer les évaluations de la Loi canadienne sur la protection de l’environnement."
Biotech & Genomics,Novel products of biotechnology to support risk assessment,"Enabling risk assessment science through the identification, development and evaluation of appropriate novel aquatic animal models",BG-06,"Evaluating new technologies such as gene editing technologies (e.g., CRISPR) for off-target effects and resilience of the genetic change",Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,"Favoriser des travaux scientifiques d’évaluation des risques par la définition, la mise au point et l’évaluation de modèles appropriés d’animaux aquatiques à caractères nouveaux.",BG-06,Évaluer les nouvelles technologiques comme les technologies de manipulation génétique (p. ex. CRISPR) pour déterminer les efforts hors cible et la résilience du changement génétique.
Biotech & Genomics,Novel products of biotechnology to support risk assessment,"Enabling risk assessment science through the identification, development and evaluation of appropriate novel aquatic animal models",BG-06,"Using domesticated and invasive aquatic animal species and strains as surrogates, assess potential threats of transgenic fish to Canadian ecosystems.",Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,"Favoriser des travaux scientifiques d’évaluation des risques par la définition, la mise au point et l’évaluation de modèles appropriés d’animaux aquatiques à caractères nouveaux.",BG-06,"Utiliser des espèces et des souches d’animaux aquatiques domestiqués et envahissants comme substituts, évaluer les menaces potentielles des poissons transgéniques pour les écosystèmes canadiens."
Aquatic ecosystems Sci.: AIS-SARA,"Species at risk assessment, listing, protection, and recovery planning (including multi-species and area-based approaches) ","Evaluation of effectiveness of avoidance, mitigation and offsetting measures.",AEa-11,"Science to guide best practices for critical habitat offsetting, including riparian critical habitat for fish and mussels (SARP). Research to evaluate the effectiveness of management measures in achieving their conservation objectives and/or providing conservation benefit in freshwater ecosystems.",Science des écosystèmes aquatiques: EAE-LEP,"Evaluation, inscription sur la liste, protection et plans de rétablissement (incluant les approches multi-espèces et basées sur la zone) pour les éspèces en péril ","Evaluation de l’efficacité des mesures d’évitement, d’atténuation et de compensation",AEa-11,"Les Sciences doivent orienter les pratiques exemplaires de compensation de l’habitat essentiel, y compris l’habitat riverain essentiel pour les poissons et les moules (PEP). Recherche visant à évaluer l’efficacité des mesures de gestion concernant l’atteinte des objectifs de conservation ou la prestation d’avantages en matière de conservation dans les écosystèmes d’eau douce.
"
Biotech & Genomics,Genomics: to support resource profiling and ecosystem health,"Expanding the use of DNA sequencing and bioinformatics, genetic marker panels, and eDNA to support fisheries management, and the protection and enhancement of biodiversity and aquatic fish habitat.",BG-02,"Develop genomics methodologies (e.g., eDNA) to detect and monitor vulnerable species (e.g., species listed by the Committee on the Status of Endangered Wildlife in Canada (COSEWIC)), assess the effectiveness of recovery strategies, and inform management actions.",Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,"Élargir le recours au séquençage de l’ADN et à la bio-informatique, aux panneaux de marqueurs génétiques et à l’ADNe pour soutenir la gestion des pêches, ainsi que la protection et l’amélioration de la biodiversité et de l’habitat aquatique des poissons..",BG-02,"Élaborer des méthodes de génomique (p. ex. ADNe) pour détecter et surveiller les espèces vulnérables (p. ex. les espèces inscrites par le Comité sur la situation des espèces en péril au Canada [COSEPAC]), évaluer l’efficacité des programmes de rétablissement et éclairer les mesures de gestion."
Biotech & Genomics,Genomics: to support resource profiling and ecosystem health,"Expanding the use of DNA sequencing and bioinformatics, genetic marker panels, and eDNA to support fisheries management, and the protection and enhancement of biodiversity and aquatic fish habitat.",BG-02,"Develop genomics methodologies that can be used in the forensic identification of fish species, to assist with the enforcement of fisheries, the implementation of traceability requirements in regulations, and monitoring bycatch. ",Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,"Élargir le recours au séquençage de l’ADN et à la bio-informatique, aux panneaux de marqueurs génétiques et à l’ADNe pour soutenir la gestion des pêches, ainsi que la protection et l’amélioration de la biodiversité et de l’habitat aquatique des poissons..",BG-02,"Élaborer des méthodologies génomiques pouvant être utilisées dans l’identification médico-légale des espèces de poissons afin de faciliter l’application de la réglementation sur les pêches, la mise en œuvre des exigences de traçabilité dans les règlements et la surveillance des prises accessoires. "
Biotech & Genomics,Genomics: to support resource profiling and ecosystem health,"Expanding the use of DNA sequencing and bioinformatics, genetic marker panels, and eDNA to support fisheries management, and the protection and enhancement of biodiversity and aquatic fish habitat.",BG-02,"Develop population genomic analyses (e.g., genetic mixed-stock analyses, eDNA) to increase the breadth and depth of information used to discriminate, detect, and monitor important fisheries species to inform Fisheries Management and integrate into sustainable fisheries management practices. ",Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,"Élargir le recours au séquençage de l’ADN et à la bio-informatique, aux panneaux de marqueurs génétiques et à l’ADNe pour soutenir la gestion des pêches, ainsi que la protection et l’amélioration de la biodiversité et de l’habitat aquatique des poissons..",BG-02,"Élaborer des analyses génomiques des populations (p. ex. analyses génétiques de stocks mixtes, ADNe) pour augmenter la portée et la profondeur des renseignements utilisés pour discriminer, détecter et surveiller les espèces halieutiques importantes afin d’éclairer la gestion des pêches et de les intégrer dans les pratiques de gestion durable des pêches. "
Biotech & Genomics,Genomics: to support resource profiling and ecosystem health,"Expanding the use of DNA sequencing and bioinformatics, genetic marker panels, and eDNA to support fisheries management, and the protection and enhancement of biodiversity and aquatic fish habitat.",BG-02,Develop the analysis of eDNA to inform management strategies for Marine Protected Areas. ,Biotech & Génomique,Génomique: soutien à la caractérisation des ressources et à la santé des écosystèmes,"Élargir le recours au séquençage de l’ADN et à la bio-informatique, aux panneaux de marqueurs génétiques et à l’ADNe pour soutenir la gestion des pêches, ainsi que la protection et l’amélioration de la biodiversité et de l’habitat aquatique des poissons..",BG-02,Élaborer l’analyse de l’ADNe pour améliorer les stratégies de gestion des aires marinées protégées. 
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Impact of stressors,AEb-07,"a) Habitat disturbance and destruction; 
b) impacts of icebreaking or dredging; 
c) hydro and flow related impacts; 
d) impacts of human activities on Ecologically and Biologically Significant Areas, ESS, Significant Benthic Areas, Marine Protected Areas, Areas of interest, and other effective area-based conservation measures; 
e) seismic, shipping noise, and other underwater noise impacts; 
f) impacts of fishing gear re: entanglement, bycatch; 
g) impacts of vessel traffic (i.e. ship speed, ship strikes)","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"a) Perturbation et destruction de l’habitat.
b) Impacts du déglaçage ou du dragage. 
c) Impacts liés aux projets hydroélectriques et aux débits. 
d) Impacts des activités humaines sur les ZIEB, les EIE, les zones benthiques importantes (ZBI), les AMP, les sites d’intérêt et les autres mesures de conservation effectives par zone (AMCEZ). 
e) Impacts sismiques, bruit causé par les navires et autres impacts des bruits sous-marins. 
f) Impacts des engins de pêche : empêtrements, prises accessoires.
g) Impacts du trafic maritime (c.-à-d. vitesse des navires, collisions avec navires).
"
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Impact of stressors,AEb-07,"a. Research on whether the loss or degradation of habitat has contributed to the decline of major fish stocks
b. Quantify the relative impact of this habitat loss to help determine appropriate offsetting or mitigation options for new projects/proposals.   ","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"a. Perturbation et destruction de l’habitat, répercussions sur l’habitat du poisson, l’habitat essentiel et la résidence (PPPH et programme sur les espèces en péril [PEP]).
b. Répercussions de l’exploitation hydroélectrique et des modifications des débits sur la mortalité du poisson et la productivité, y compris répercussions des aménagements hydroélectriques.
"
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Impact of stressors,AEb-07,Assessing impact and removal of benthic marine debris (in particular for NL Region),"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,Évaluer l'impact et le déplacement de débris benthiques marins (en particulier dans la région TNL)
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Impact of stressors,AEb-07,"Assessing impacts to anthropogenic stressors to sensitive benthic areas (oil and gas exploration and development, aquaculture, fishing etc).","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Évaluation des impacts des agents de stress anthropiques sur les ZBI (exploration et mise en valeur du pétrole et du gaz, aquaculture, pêche, etc.)."
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Impact of stressors,AEb-07,"Cumulative Effects Science (FFHPP/Aquatic Ecosystems) (i) Research to support and understand the role of individual and/or multiple stressors on freshwater ecosystem function with priorities in habitat disturbance and destruction, impacts to aquatic fish habitat, critical habitat and residence (ii) Science support for establishment of indicators and triggers to support increasing and decreasing management actions. Focus on impacts related to riparian habitat disturbance; hydro development and flow regulation; habitat disturbance and destruction; impacts of FW aquaculture projects. Priority areas: Lower Great Lakes; Alberta East Slopes; hydro development regions; Lake Huron (aquaculture and AIS)","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Science des effets cumulatifs (PPPH): Recherche pour (1) soutenir et comprendre le role d'agents de stress uniques ou multiples sur les écosysthèmes d'eau douce, avec priorité sur les habitats perturbés ou détruits, les impacts sur l'habitat du poisson, les habitats critiques; (2) soutien scientifique pour établir des indicateurs et des déclencheurs d'intervention. Focus sur les habitats riverains, les développements hydroélectriques et les projets aquiciles. Zones prioritaires: Grands Lacs Inférieurs, Pentes Orientales de l'Alberta."
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Impact of stressors,AEb-07,"Effect or implications of climate change on marine conservation areas.
Research on the effect or implications of climate change on marine conservation areas (e.g., ESA, MPAs, refugia), including identifying areas of climate resilience to support prioritization of conservation network sites. ","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Effet ou répercussions des changements climatiques sur les aires marines de conservation (AMC).
Recherche sur l’effet ou les répercussions des changements climatiques sur les AMC (p. ex. EES, AMP, refuges), incluant l’identification de zones de résilience climatique dans le but de faciliter la priorisation des sites de réseaux de conservation. 
"
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Impact of stressors,AEb-07,Effects of noise and vibration on fish.,"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,Effets du bruit et de la vibration sur le poisson.
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Impact of stressors,AEb-07,"Estimation of ghost gear in [specific area or all of Canada] based on reports from the SFSRSCP. Using the first year of data from retrieval operations as part of the E115 and lost gear reports, the program would be interested in having a better understanding of the breadth of ALDFG in Canadian waters. Using the data from lost gear forms and data retrieval forms, and overlaying them with fishing effort maps from different regions/fisheries could provide better awareness of the amount of ghost gear in our waters. This information could offer guidance on where to focus future retrieval operations, areas considered “high-risk” for loss of fishing gear based on effort and retrieval and assist in determining the current level of compliance related to the reporting of lost fishing gear in the commercial fisheries. ","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Estimation des engins fantômes (dans une région précise ou l’ensemble du Canada) d’après les rapports du Fonds pour les engins fantômes. À partir des données de la première année des opérations de récupération dans le cadre du programme du Fonds pour les engins fantômes et des rapports sur les engins de pêche perdus/abandonnés/jetés, le programme vise à mieux saisir l’étendue du problème causé par ces engins dans les eaux canadiennes. L’utilisation des données des formulaires sur les engins perdus et des formulaires d’extraction de données ainsi que leur recoupement avec les cartes des efforts de pêche provenant de différentes régions/pêcheries permettraient de mieux apprécier la quantité d’engins fantômes qui se trouvent dans nos eaux. Cette information pourrait fournir des directives sur les endroits où concentrer les futures opérations de récupération et les secteurs considérés comme « à risque élevé » de perte d’engins en fonction de l’effort de pêche et de la récupération, et pourrait aider à déterminer le niveau actuel de conformité en matière de déclaration des engins de pêche commerciale perdus. "
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Impact of stressors,AEb-07,"Hydro and flow related impacts, particularly as it relates to fish mortality and it’s impacts on productivity, and impacts from hydroelectric developments.","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Impacts du développement hydroéléctrique sur l'hydrologie, ains que sur la productivité et la mortalité des poissons."
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Impact of stressors,AEb-07,Impacts of activities on fish and fish habitat in coastal and estuarine environments,"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,Impacts d'activités sur le poisson et son habitat dans les zones côtièrs et estuariennes
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Impact of stressors,AEb-07,"Impacts of fishing gear including novel gear types on different species (e.g., entanglement, bycatch).","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Impacts des engins de pêche incluant les nouveaux types d'engins sur différentes espèces (p. ex. accrochage, prises accidentelles)"
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Impact of stressors,AEb-07,"Marine environmental quality priorities, including ocean noise impacts","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Priorités sur la qualité environnementale marine, incluant les impacts du bruit océanique"
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Impact of stressors,AEb-07,"Projecting environmental and ecosystem impacts of climate change to support adaptive management
a. Marine spatial planning
b. Impacts on marine protected areas and other effective measures
c. On freshwater habitat management ","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Projection des répercussions des changements climatiques sur l’environnement et les écosystèmes à l’appui de la gestion adaptative.
a. Planification spatiale marine.
b. Répercussions sur les AMP et autres mesures efficaces
c. Sur la gestion des habitats d'eau douce
"
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Impact of stressors,AEb-07,"Research on incorporating climate change in marine spatial planning, to help manage MPA in OECMs 
Arctic marine resources; impacts on most vulnerable ecosystems and region.","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Recherche sur l’intégration des changements climatiques à la planification spatiale marine afin d’aider à gérer les AMP dans les AMCEZ. 
Ressources marines arctiques; impacts sur les écosystèmes et les régions les plus vulnérables.
"
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Impact of stressors,AEb-07,"Research on priority and emerging stressors which are of interest to Indigenous people (e.g. Harmful Algal Blooms, oil spills, eutrophication, etc.)","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Recherche sur les agents de stress prioritaires et émergents d'intérêt pour les communautés autochtones (p. ex. prolifération d’algues nuisibles, déversements d’hydrocarbures, eutrophisation, etc.).  
"
"Aquatic ecosystems Sci.: Ecosystems, habitats, impacts","Threats and impacts to ecosystems, habitats",Impact of stressors,AEb-07,"Science to assess the impacts of development and pollution (anthropogenic) on aquatic ecosystems,  e.g., shipping, noise, acidification, natural resource exploration/extraction, aquatic invasive species, plastics/microplastics, chemical pollutants, and other cumulative impacts, biological effects, and risk assessment/mitigation.","Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Recherche en soutien de l'évaluation des impacts anthropogéniques sur les écosystèmes aquatiques, p.ex. trafic maritime, bruit, acidification, exploration/exploitation des ressources, EAE, plastiques/micro-plastiques, polluants chimiques et d'autres impacts cumulatif, effets biologiques, et évaluations de risques"
