Thème,Sous-thème,Priorité de recherche,Numéro d'identification de la priorité (NIP),Informations complémentaires fournies par le client
Science des écosystèmes aquatiques: EAE-LEP,"Evaluation, inscription sur la liste, protection et plans de rétablissement (incluant les approches multi-espèces et basées sur la zone) pour les éspèces en péril ","Évaluation, compréhension et surveillance des espèces aquatiques en péril et production de rapports connexes",AEa-15,"Espèces prioritaires, surveillance et recherche: pour les espèces en péril.
Espèces de poissons hautement prioritaires en Ontario : méné long, méné miroir, petit-bec, chevalier noir et gravelier (rivière Thames). 
Espèces de moules hautement prioritaires en Ontario : obliquaire à trois cornes, troncille pied-de-faon, toxolasme nain, obovarie olivâtre, épioblasme tricorne, dysnomie ventrue jaune, obovarie ronde et villeuse haricot. 
Espèces hautement prioritaires à l’extérieur de l’Ontario : truite fardée versant de l’ouest (Sask. – Nelson), omble à tête plate (Sask. – Nelson), truite arc-en-ciel (Athabasca) et esturgeon jaune (UD1, rivière Nelson – Sask.).  
Espèces de l’Arctique : béluga de la baie Cumberland, crabe à pois.
"
Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Efficacité de la gestion et comptes rendus,Surveillance des espèces aquatiques en péril et production de rapports connexes,AEa-16,"Évaluation et de diverses espèces d’eau douce et production de rapports connexes :Recherche visant à évaluer l’efficacité des mesures de gestion concernant l’atteinte des objectifs de conservation ou de la prestation d’avantages en matière de conservation dans les écosystèmes d’eau douce.
- Programme de surveillance multispécifique ciblant les poissons des systèmes riverains et de milieux humides ainsi que les moules d’eau douce des systèmes d’eaux profondes et de milieux humides (PEP).
"
Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Efficacité de la gestion et comptes rendus,Surveillance des espèces aquatiques en péril et production de rapports connexes,AEa-16,"Évaluation, production de rapports et réintroductions : Recherche visant à évaluer l’efficacité des mesures de gestion concernant l’atteinte des objectifs de conservation ou la prestation d’avantages en matière de conservation dans les écosystèmes d’eau douce. 
a. Les Sciences doivent orienter les mesures de réintroduction et de supplémentation de poissons et de moules (PEP).           b. Programme de surveillance multi-espèces pour les poissons dans les systèmes fluviaux et de zones humides ainsi que pour les moules d'eau douce dans les systèmes en eaux profondes / zones humides (PEP)
"
Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Efficacité de la gestion et comptes rendus,Surveillance des espèces aquatiques en péril et production de rapports connexes,AEa-16,"Évaluation et production de rapports : Évaluer l’efficacité des mesures de gestion concernant l’atteinte des objectifs en matière de conservation et produire des rapports connexes.
- Recherches, analyses et recommandations liées à l’évaluation de l’efficacité des mesures existantes, comme les mesures relatives aux pêches (p. ex. fermetures, restrictions ou modifications des engins), les autorisations et les mesures de compensation en vertu de l’article 35, le passage des poissons, les interdictions en vertu de la LEP, les règlements et les mesures de rétablissement et de protection.
"
Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Menaces et impacts (incluant les effets de multiples agents de stress,Menaces et répercussions sur les espèces aquatiques en péril,AEa-17,"Recherche sur les menaces pesant sur le saumon atlantique et les mesures d’atténuation connexes.
- On devrait prioriser les activités de recherche visant à déterminer les mesures de prévention et d’atténuation pouvant être mises en œuvre en vue de réduire les risques pour le saumon. 
- On devrait prioriser les activités de recherche sur les menaces dans les milieux marins et estuariens. "
Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Menaces et impacts (incluant les effets de multiples agents de stress),Menaces et répercussions sur les espèces aquatiques en péril,AEa-17,"Modélisation des effets cumulatifs et application du cadre :
a. application de cadres antérieurs visant à atténuer les effets cumulatifs ou les facteurs de stress multiples sur les espèces aquatiques en péril;
b. élaboration de modèles/cadres sur les effets cumulatifs."
Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Menaces et impacts (incluant les effets de multiples agents de stress),Dynamique prédateur-proie et interdépendances entre les espèces ,AEa-18,"Dynamique prédateur-proie et interdépendances des espèces (p. ex., interactions entre les mammifères marins et les proies, et interactions entre les espèces aquatiques envahissantes et les espèces en péril et répercussions connexes)."
Science des écosystèmes aquatiques: EAE-LEP,"Evaluation, inscription sur la liste, protection et plans de rétablissement (incluant les approches multi-espèces et basées sur la zone) pour les éspèces en péril ","Évaluation, compréhension et surveillance des espèces aquatiques en péril et production de rapports connexes",AEa-15,"Amélioration des activités scientifiques et d’évaluation visant à appuyer des espèces émergentes et stocks d’intérêt à l’appui d’espèces en péril.

"
Science des écosystèmes aquatiques: EAE-LEP,"Evaluation, inscription sur la liste, protection et plans de rétablissement (incluant les approches multi-espèces et basées sur la zone) pour les éspèces en péril ","Évaluer, comprendre, surveiller et rendre compte des espèces aquatiques en péril",AEa-15,"Déterminer un processus d’examen visant à évaluer le mérite scientifique, la sécurité et les répercussions cumulatives de licences, permis et autorisations multiples pour des espèces ciblées.
Recherche sur la meilleure facon d'évaluer les répercussions cumulatives de multiples demandes de licences/permis/autorisations.
"
Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Menaces et impacts (incluant les effets de multiples agents de stress),Menaces et répercussions sur les espèces aquatiques en péril,AEa-17,"Déterminer le seuil de ce qui représente une perturbation pour les mammifères marins.
Déterminer s’il existe une possibilité de perturbation concernant la portée complète des activités nécessaires une autorisation en vertu de l’article 38, ou si un seuil pourrait être établi afin de déterminer ce qui représente une perturbation pour les mammifères marins.
"
Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Menaces et impacts (incluant les effets de multiples agents de stress),Menaces et répercussions sur les espèces aquatiques en péril,AEa-17,"Recherche concernant les menaces pesant sur les mammifères marins inscrits à la LEP et la façon de les atténuer. 
- Fournir des informations pour soutenir la mise en œuvre de mesures de prévention ou d’atténuation pour faire face aux principales menaces pesant sur les mammifères marins inscrits à la LEP, notamment l'enchevêtrement, le bruit et les collisions avec les navires. La recherche visant à comprendre et à prévoir l'utilisation de l'habitat (les sources de nourriture).
"
Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Menaces et impacts (incluant les effets de multiples agents de stress),Dynamique prédateur-proie et interdépendances entre les espèces ,AEa-18,"Interactions entre les espèces, synergies, mammifères marins:
a) espèces en péril;                                                                                                                                                    
b) espèces clés cernées dans les objectifs de conservation des ZPM, des sites d’intérêt (SI) et des mesures de conservation efficaces par zone (AMCEZ);                                                                              
c) espèces clés dans les ZIEB, les SI, les ZPM et les AMCEZ.                                                                       
                                                                       "
Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Menaces et impacts (incluant les effets de multiples agents de stress),Menaces et répercussions sur les espèces aquatiques en péril,AEa-17,"Comprendre le rôle de facteurs de stress individuels et multiples (c.-à-d. effets cumulatifs) sur la fonction des écosystèmes marins et d’eau douce, et leurs répercussions sur les espèces aquatiques en péril :
a. recherche visant à comprendre la nature et l’étendue de la perturbation acoustique pesant sur les espèces en péril désignées par le COSEPAC;
b. compréhension des répercussions et des effets de la perturbation et de la destruction de l’habitat, et les recommandations liées à leur atténuation; 
c. recherche concernant les répercussions liées aux projets hydroélectriques et aux débits d’eau (p. ex. prélèvements d’eau, sédimentation, oxygénation, etc.)."
Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Menaces et impacts (incluant les effets de multiples agents de stress),Menaces et répercussions sur les espèces aquatiques en péril,AEa-17,"Comprendre le rôle des facteurs de stress individuels et multiples (c.-à-d. effets cumulatifs) sur la fonction des écosystèmes marins et d’eau douce, et leurs répercussions sur les espèces aquatiques en péril.
- Documenter les répercussions des changements climatiques sur la répartition des espèces, les paramètres biologiques et le caractère réalisable du rétablissement."
Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Menaces et impacts (incluant les effets de multiples agents de stress),Menaces et répercussions sur les espèces aquatiques en péril,AEa-17,"Comprendre le rôle des facteurs de stress individuels et multiples (c.-à-d. effets cumulatifs) sur la fonction des écosystèmes marins et d’eau douce, et leurs répercussions sur les espèces aquatiques en péril.
- Comprendre la nature et l’étendue des interactions avec les pêches (p. ex. les pêches dirigées et les baleines nordiques), l’empêtrement, les prises accessoires, les répercussions des pêches prévoyant la remise à l’eau des prises) et les options d’atténuation."
Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Menaces et impacts (incluant les effets de multiples agents de stress),Menaces et répercussions sur les espèces aquatiques en péril,AEa-17,"Comprendre le rôle des facteurs de stress individuels et multiples (c.-à-d. effets cumulatifs) sur la fonction des écosystèmes marins et d’eau douce, et leurs répercussions sur les espèces aquatiques en péril.
- Recherche concernant les répercussions des activités humaines sur l’habitat essentiel d’espèces ou leur résidence."
Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Menaces et impacts (incluant les effets de multiples agents de stress),Menaces et répercussions sur les espèces aquatiques en péril,AEa-17,"Comprendre le rôle des facteurs de stress individuels et multiples (c.-à-d. effets cumulatifs) sur la fonction des écosystèmes marins et d’eau douce, et leurs répercussions sur les espèces aquatiques en péril.
- Recherche concernant les répercussions des menaces à l’appui de la planification du rétablissement et de la délivrance de permis sur les espèces en péril et leurs écosystèmes."
Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Menaces et impacts (incluant les effets de multiples agents de stress),Menaces et répercussions sur les espèces aquatiques en péril,AEa-17,"Perturbation et destruction de l'habitat, impacts sur l'habitat du poisson aquatique, l'habitat essentiel et la résidence (PPPH et LEP)"
Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Menaces et impacts (incluant les effets de multiples agents de stress),Menaces et répercussions sur les espèces aquatiques en péril,AEa-17,Élaborer des approches pour la mise en œuvre de mesures de rétablissement multispécifiques fondées sur les écosystèmes et les menaces qui visent à appuyer la survie et le rétablissement des espèces aquatiques en péril.
Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Menaces et impacts (incluant les effets de multiples agents de stress),Menaces et répercussions sur les espèces aquatiques en péril,AEa-17,"Surveillance, évaluation et atténuation des effets anthropiques des bruits sous-marins (y compris bruits sismiques) sur la faune marine (plus particulièrement les poissons, les invertébrés et les tortues marines).
- Données sur les seuils de sensibilité auditive des animaux marins (en particulier les poissons, les invertébrés et les tortues marines) visant à faciliter l’établissement ou la mise à jour de mesures de gestion."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Zones et espèces importantes,AEb-01,Évaluation des zones d’importance écologique aux fins de la conservation et de la protection.
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Zones et espèces importantes,AEb-01,"Données scientifiques de base axées sur les lacunes actuelles en matière de connaissances dans les zones sous-étudiées, en particulier les zones côtières, à l’appui des efforts de conservation et de planification spatiale marine. Caractérisation et cartographie de l’habitat, y compris les détails suivants : 
1) structure et fonction de l’écosystème;
2) production primaire par le truchement des prédateurs de niveau trophique supérieur;
3) taille et structure de la population des principales espèces."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Zones et espèces importantes,AEb-01,"Données scientifiques de base dans les régions sous-étudiées, p. ex. l’Arctique. 
a. Taille et structure de la population des principales espèces.
b. Améliorer la compréhension scientifique des zones d’importance écologique et biologique, et appuyer la mise en place d’aires marines protégées (AMP) dans le but d’assurer une protection de 25 % d’ici 2025.
c. Structure et fonction de l’écosystème.
d. Caractérisation et cartographie de l’habitat, y compris une cartographie détaillée de l’habitat benthique."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Zones et espèces importantes,AEb-01,Méthodes novatrices pour identifier les zones et les espèces importantes. 
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Zones et espèces importantes,AEb-01,"Services écosystémiques
- Identification des services écosystémiques fournis par des zones, des espèces ou des communautés d’espèces."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Zones et espèces importantes,AEb-01,"Development of innovative methods to inform, assess and report on important areas and species, including: sensitive benthic areas, vulnerable habitats and species, vulnerable marine ecosystems (VMEs), ecologically and biologically significant areas (EBSAs) and species (ESSs)."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Zones et espèces importantes,AEb-01,"Protection du poisson et de son habitat (PPH) – appuyer l’établissement et la gestion des évaluations environnementales de site (EES) au moyen de recherches ciblées sur l’eau douce.
a. Décrire des caractéristiques comme la connectivité qui contribuent aux habitats de grande valeur.
b. Élaborer des mesures de la connectivité milieu marin/milieu dulcicole afin d’aider à définir les habitats importants.
c. Identifier les espèces et les aires/habitats importants qui sont uniques ou rares, qui sont sensibles ou très productifs, ou les deux, et qui doivent être protégés dans la région de Terre-Neuve-et-Labrador.
d. Méthodes et protocoles normalisés pour la collecte et la surveillance des données communautaires.
e. Élaborer des indicateurs, une méthodologie normalisée ou un cadre pour mesurer l’efficacité des mesures de gestion."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Zones et espèces importantes,AEb-01,"Mise en œuvre d’approches écosystémiques : planification du réseau de conservation marine.
a) Conception, surveillance et soutien à la gestion des sites d’AMP.
b) Détermination des zones/espèces susceptibles d’être les plus touchées par les changements climatiques à l’appui de la planification.
c) Définition des zones de résilience au climat pour faciliter la priorisation des sites.
"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Zones et espèces importantes,AEb-01,"Research to identify priority species, places and threats to support spatial management measures (e.g., ESAs) and decision making"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Zones et espèces importantes,AEb-01,"Mammifères marins 
Données scientifiques de base pour améliorer la compréhension des rôles des mammifères marins et de leurs proies ainsi que des liens écologiques entre eux. Données sur la distribution essentielles pour comprendre les ZIEB et appuyer l’établissement d’AMP et de désignations des habitats essentiels (p. ex. rorqual bleu, baleine noire, baleine-à-bec boréale, tortue luth).
a. Structure et fonction de l’écosystème.
b. Caractérisation et cartographie de l’habitat, y compris cartographie détaillée de l’habitat des proies.
c. Production primaire par le truchement des prédateurs de niveau trophique supérieur."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Zones et espèces importantes,AEb-01,"Recherche sur les espèces et les habitats prioritaires pour lesquels on manque d’information sur la distribution spatiale ou temporelle, comme les plantes marines (p. ex. zostère, fucus, varech).      "
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Zones et espèces importantes,AEb-01,"Mise à jour, validation ou correction des lacunes dans l’information géospatiale, plus particulièrement dans les zones où la planification spatiale marine est effectuée. Création de cartes combinées d’espèces et d’habitats importants."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Indicateurs,AEb-02,"Élaboration d’indicateurs et de protocoles de surveillance plus efficaces et plus efficients (comme l’utilisation de l’ADNe et de la télédétection, parallèlement à l’élaboration d’un modèle), en mettant l’accent sur ceux qui peuvent être appliqués à l’échelle biorégionale."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Indicateurs,AEb-02,"Élaboration de cadres définissant les indicateurs clés et les mesures connexes pour éclairer l’évaluation et le signalement des écosystèmes et des habitats aquatiques, y compris les impacts."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Indicateurs,AEb-02,"PPH – Mesures d’atténuation et activités de gestion : amélioration de la surveillance et de la réduction des prises accessoires.
Recherche pour soutenir la mise en œuvre de la résolution 61/105 des Nations Unies, des processus connexes de l’Organisation des Nations Unies pour l’alimentation et l’agriculture (FAO) et de la Convention sur la Diversité biologique (CBD), y compris les cibles d’Aichi et les objectifs de développement durable (ODD), ainsi que de la Conférence intergouvernementale pour négocier un nouveau traité de mise en œuvre en vertu de la Convention des Nations Unies sur le droit de la mer (UNCLOS) pour la biodiversité des zones marines situées au-delà de la juridiction nationale. Effets néfastes notables sur la biodiversité marine.
a. Rétablissement des populations de coraux et d’éponges décimées en raison des impacts de la pêche.
b. Compréhension des impacts sur la biodiversité marine dans les zones marines situées au-delà de la juridiction nationale.
c. Fonctions écosystémiques des indicateurs des écosystèmes marins vulnérables (EMV) et des éléments des EMV (p. ex. canyons, monts sous-marins) en haute mer. 
d. Impacts des bruits sous-marins anthropiques sur la diversité marine, y compris l’élaboration d’indicateurs et de cadres de surveillance du bruit sous-marin."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Indicateurs,AEb-02,"PPH – Surveillance : recherche visant à évaluer l’efficacité des mesures de gestion dans l’atteinte d’objectifs de conservation ou de la prestation d’avantages de conservation dans l’écosystème d’eau douce.
a. Élaboration d’indicateurs et de seuils (qui appuieront également la production de rapports sur l’état du poisson et de son habitat).
b. Méthodes et protocoles normalisés de collecte et de surveillance des données de base communautaires.
c. Élaboration de méthodes/protocoles normalisés pour les promoteurs, les collectivités locales, les ONG ou les groupes autochtones afin d’appuyer la collecte de données de base."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Indicateurs,AEb-02,Recherche en vue de l’élaboration de mesures relatives à l’habitat à l’échelle de l’écopaysage et du bassin hydrologique afin d’éclairer et d’améliorer l’établissement de la situation biologique (état de la population) des espèces prioritaires.
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Indicateurs,AEb-02,"Aider le Programme de protection du poisson et de son habitat (PPPH) pour:
a) l'élaboration de l’approche en matière de production de rapports sur l’état de l’habitat (outils pour le personnel et les communications avec le public); 
b) l'évaluation de l’efficacité du processus décisionnel du Programme. 
"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Approches novatrices,AEb-03,"Élaboration de nouvelles approches pour appuyer l’intégration en produits spatiaux et temporels utiles de diverses sources de données, y compris les observations sur le terrain traditionnelles, les données de télédétection, les produits de modélisation et les observations scientifiques citoyennes. "
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Approches novatrices,AEb-03,"Méthodes de détection et d’évaluation du cycle de vie, de l’utilisation de l’habitat et des mouvements d’espèces rares, pauvres en données ou sensibles.
"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Approches novatrices,AEb-03,Fournir des outils à l’appui de l’élaboration continue de règlements. 
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Évaluation et compte rendu sur les écosystèmes aquatiques,Approches novatrices,AEb-03,"Élaborer des outils et perfectionner les outils existants. 
- Les améliorations apportées aux outils d’analyse acoustique sont pertinentes pour toutes les régions et réduiront considérablement les coûts et la durée des études acoustiques.
"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Atténuation et efficacité de la gestion des mesures de protection des écosystèmes et des habitats ,Efficacité scientifique,AEb-04,"Aider à l’élaboration de programmes de surveillance et fournir un soutien pour l’interprétation des résultats des programmes de surveillance. 
- Collaborer avec le groupe de travail national sur la surveillance du PPPH aux fins de l’élaboration d’un projet pilote visant à opérationnaliser les avis de la réunion précédente d’examen par les pairs portant sur la surveillance fonctionnelle (p. ex. analyser les données pour une catégorie de projets ayant été recueillies selon les directives sur la surveillance fonctionnelle pour évaluer l’efficacité des mesures de gestion).
"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Atténuation et efficacité de la gestion des mesures de protection des écosystèmes et des habitats ,Efficacité scientifique,AEb-04,"Efficacité des mesures de restauration de l’habitat (PPPH):
Support scientifique pour guider les meilleures pratiques pour les habitats critiques et d'autres mesures de compesation de l'habitat du poissson, p.e ex. creation d'un lake, restauration de cours d'eau, démantellement de barrières."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Atténuation et efficacité de la gestion des mesures de protection des écosystèmes et des habitats ,Efficacité scientifique,AEb-04,"Recherche à l’appui de la mise en œuvre de la résolution 61/105 des Nations Unies, des processus connexes de la FAO et de la CBD (y compris les cibles d’Aichi et les ODD), ainsi que de la Conférence intergouvernementale pour négocier un nouveau traité de mise en œuvre en vertu de la UNCLOS pour la biodiversité des zones marines situées au-delà de la juridiction nationale.
a. Évaluation de l’efficacité de divers types de mesures de gestion par zone (p. ex. dates de fermeture ou zones protégées). 
b. Examen et évaluation des résultats en matière de biodiversité ou des avantages des mesures de gestion par zone, y compris les zones protégées et les autres mesures de conservation effectives par zone comme les dates de fermeture des pêches.
"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Atténuation et efficacité de la gestion des mesures de protection des écosystèmes et des habitats ,Développement de modèles et d’outils,AEb-05,"a. Cartographie spatiale ou modélisation de l’interaction entre engins de pêche/corridors de navigation et routes de migration des baleines, et aires de mise bas des phoques (p. ex. phoque annelé et phoque barbu) et des ours polaires.
b. Intégration de la connectivité pour la planification du réseau des AMP (RAMP) pour les espèces et les processus physiques/chimiques, y compris ceux hors des limites des AMP qui peuvent avoir une incidence sur l’environnement à l’intérieur de celles-ci."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Atténuation et efficacité de la gestion des mesures de protection des écosystèmes et des habitats ,Développement de modèles et d’outils,AEb-05,"Élaboration de modèles à l’échelle du littoral pour fournir des renseignements sur les habitats et les écosystèmes locaux dans le voisinage des communautés côtières (appui des interventions en cas de déversement, amélioration de la sécurité maritime, gestion par zone, etc.).
"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Atténuation et efficacité de la gestion des mesures de protection des écosystèmes et des habitats ,Développement de modèles et d’outils,AEb-05,"Évaluation de l’efficacité des mesures de gestion pour atteindre leurs objectifs de conservation ou procurer des avantages en matière de conservation dans les écosystèmes marins et d’eau douce.
a. Élaboration d’indicateurs, d’une méthodologie normalisée ou d’un cadre pour mesurer l’efficacité des mesures de gestion.
b. Établissement de bases de référence et de sites de référence pour l’établissement et la surveillance des AMP."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Atténuation et efficacité de la gestion des mesures de protection des écosystèmes et des habitats ,Développement de modèles et d’outils,AEb-05,"Méthodes de soutien à l’analyse et à la prise de décisions aux fins de planification spatiale marine (y compris quantification et cartographie des facteurs de pression/agents de stress).
Mise en œuvre d’approches écosystémiques pour la gestion : planification du réseau de conservation maritime. 
"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Atténuation et efficacité de la gestion des mesures de protection des écosystèmes et des habitats ,Développement de modèles et d’outils,AEb-05,"Réseaux d’aires protégées
- Recherche à l’appui de l’élaboration d’un réseau mondial d’AMP (y compris les priorités des caractéristiques écologiques et de conservation).
"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Atténuation et efficacité de la gestion des mesures de protection des écosystèmes et des habitats ,Développement de modèles et d’outils,AEb-05,"Science à l’appui de la mise en œuvre de la gestion par zone (p. ex. par des travaux de définition des zones hydrologiquement connectées; prise en compte des effets cumulatifs et des répercussions de l’aquaculture, y compris sur la santé du poisson).  
"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts",Atténuation et efficacité de la gestion des mesures de protection des écosystèmes et des habitats ,Développement de modèles et d’outils,AEb-05,"Appuyer l’élaboration d’outils scientifiques (p. ex. pour les travaux liés aux zones d’importance écologique). 
Se concentrer sur la compréhension des besoins finals et des besoins des utilisateurs en matière d’outils. 
Explorer des idées de visualisation et de cartographie qui pourraient élargir l’utilisation des outils actuels. 
Mettre l’accent sur les liens entre productivité et indices de qualité de l’habitat (IQH)."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Effets cumulatifs ,AEb-06,"a) Élaboration de modèles/cadres d’effets cumulatifs.
b) Application de cadres antérieurs visant à prendre en compte les effets cumulatifs ou les agents de stress multiples (p. ex. Cadre d’évaluation du risque écologique cumulatif [CEREC]) 
c) Élaboration de séquences des effets pour diverses activités dans un contexte environnemental arctique."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Effets cumulatifs ,AEb-06,Exploration de l’applicabilité des cadres antérieurs visant à traiter des effets cumulatifs ou des agents de stress multiples (p. ex. CERE) 
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Effets cumulatifs ,AEb-06,"Améliorer la compréhension des effets des contaminants et d'autres agents de stress physiques, chimiques et biologiques; et comment ils contribuent aux effets cumulatifs, incluant les limites, les points critiques et les risques liés aux prévisions. Comprendre l'influence du changement climatiques sur les points critiques."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Effets cumulatifs ,AEb-06,"Recherche visant à améliorer la compréhension des effets des contaminants et d’autres agents de stress physiques, chimiques et biologiques clés et de leur contribution aux effets cumulatifs, y compris l’établissement de seuils, de points de basculement et de prévisions du risque. Meilleure compréhension de la façon dont ces points de basculement peuvent changer sous un climat lui-même changeant."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Effets cumulatifs ,AEb-06,"Recherche visant à appuyer l’évaluation des effets cumulatifs, la modélisation et l’avancement de l’évaluation régionale des effets cumulatifs, ainsi que leur applicabilité à la gestion spatiale comme les réseaux d’AMP ou la planification spatiale marine (PSM)."
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Effets cumulatifs ,AEb-06,"Comprendre les effets interactifs de la dynamiques des écosystèms, du changement climatique et des activités humaines sur les écosystèmes"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"a) Perturbation et destruction de l’habitat.
b) Impacts du déglaçage ou du dragage. 
c) Impacts liés aux projets hydroélectriques et aux débits. 
d) Impacts des activités humaines sur les ZIEB, les EIE, les zones benthiques importantes (ZBI), les AMP, les sites d’intérêt et les autres mesures de conservation effectives par zone (AMCEZ). 
e) Impacts sismiques, bruit causé par les navires et autres impacts des bruits sous-marins. 
f) Impacts des engins de pêche : empêtrements, prises accessoires.
g) Impacts du trafic maritime (c.-à-d. vitesse des navires, collisions avec navires).
"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"a. Perturbation et destruction de l’habitat, répercussions sur l’habitat du poisson, l’habitat essentiel et la résidence (PPPH et programme sur les espèces en péril [PEP]).
b. Répercussions de l’exploitation hydroélectrique et des modifications des débits sur la mortalité du poisson et la productivité, y compris répercussions des aménagements hydroélectriques.
"
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,Évaluer l'impact et le déplacement de débris benthiques marins (en particulier dans la région TNL)
"Science des écosystèmes aquatiques: écosystèmes, habitats, impacts","Menaces et impacts sur les écosystèmes, habitats",Incidence des agents de stress,AEb-07,"Évaluation des impacts des agents de stress anthropiques sur les ZBI (exploration et mise en valeur du pétrole et du gaz, aquaculture, pêche, etc.)."
