name_eng,name_ind,abbrev,address,mailing_address,city,postal_code,province,phone,fax,dfo_contact_instructions,notes,key_species,former_name,website,council_quorum,next_election,election_term,new_coucil_effective_date,population_on_reserve,population_off_reserve,population_other_reserve,fin,processing_plant,Grouping
Tsartlip First Nation,,TpFN,Boatramp Rd.,PO BOX 70 - #1 ,Brentwood Bay,V8M 1R3,10,(250) 652-3988,(250) 652-3788,"TMX CDCR email: 
Joni Olsen 
CAO
joni.olsen@icloud.com
cc Peter Evans
Director Research & Outreach (Consultant forTseycum also)
peter.evans@trailmarksys.com

P4P0 rep: Sheri Solares (sheri.solares@canada.ca)
Please reach out to Sheri for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://tsartlip.com/,,12/7/2021,,,,,,,,First Nation
Tsawout First Nation,,TsaFN,7728 Tetayut Rd.,,Saanichton,V8M 2E4,10,(250) 652-9101,(250) 652-9114,"TMX CDCR contact:
Chief Nicholas Claxton 
nclaxton@tsawout.ca
Christine Bird
Band Manager
bandmanager@tsawout.ca
cc Mavis Underwood
Council
munderwood@tsawout.ca

Financial Contacts
Darren Sim
finance manager
financemanager@tsawout.ca     .

Greg Diemer
CFO
cfo@tsawout.ca

Betty 
accounting clerk
financeassist@tsawout.ca.

P4P0 rep: Sheri Solares (sheri.solares@canada.ca)
Please reach out to Sheri for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,https://tsawout.ca/,,7/5/2023,,,,,,,,First Nation
Tsawwassen First Nation,,TnFN,1926 TSAWWASSEN DR,,North Delta,V4M 4G4,10,604-943-2112,604-943-9226,"Jordi Nickolet
Contact for Exercise Design and Participation
jnickolet@tsawwassenfirstnation.com
(604) 612-7747

Before reaching out bilaterally need to reach out to P4P0, Sean Wouters seanglen.wouters@canada.ca

Use referral email when notifying the Nation about CCG projects (example MCI projects)

Use 'Referrals' email when notifying the Nation about a project
referrals@tsawwassenfirstnation.com",,,,https://tsawwassenfirstnation.com/,,4/20/2022,,,,,,,,First Nation
Tseshaht First Nation,,TsFN,5091 Tsuma-as Drive,,Port Alberni,V9Y 8X9,10,250-724-1225 ,250-724-4385,"Chief 
Ken Watts
KenWatts@tseshaht.com
Fisheries Manager
Dave Rolsten
DRolston@tseshaht.com
Vicky White 
Executive Director
vwhite@tseshaht.com

Financial Contact
Chris Anderson
Director of Fionance
canderson@tseshaht.com
250-724-1225
***Both Chief Watts and Exec Dir. White have signing authority)

",,,,https://tseshaht.com/,,12/12/2024,,,,,,,,First Nation
Tseycum First Nation,,TsmFN,1210 Totem Lane,,North Saanich,V8L 5S4 ,10,250-656-0858,250-656-0868,"TMX CDCR primary contact:

Karen Harry
Special Projects Coordinator/Finance
kare40099@gmail.com
cc Peter Evans
Director Research & Outreach (Consultant for Tsartlip also)
peter.evans@trailmarksys.com
cc Ed Ross
Consultant
ed.ross@trailmarksys.com

P4P0 rep: Sheri Solares (sheri.solares@canada.ca)
Please reach out to Sheri for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,http://www.tseycum.ca/,,7/24/2023,,,,,,,,First Nation
Tsleil-Waututh Nation,,TWN,3178 Alder Court,,North Vancouver,V7H 2V6,10,604-929-3454,604-929-4714,"TMX CDCR primary contact: 
Spencer Taft 
Project Manager
staft@twnation.ca
cc Hillary Hyland
Environmental Specialist
hhyland@twnation.ca

Signatory
Gabriel George
Director of Treaty Lands and Resource Department
gabriel@twnation.ca

Finance
Naghmeh Nikkholgh
Email address: ar@twnation.ca
Phone number: 604-929-3454


Talk to Reconciliation Team prior to communication, Monica Tang at monica.tang@dfo-mpo.gc.ca

P4P0 rep: Sean Wouters (seanglen.wouters@canada.ca)
Please reach out to Sean for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.
",,,,https://twnation.ca/,,,,,,,,,,First Nation
T'Sou-ke First Nation,,TsoFN,2154 Lazzar Rd.,,Sooke,V9Z 1G1 ,10,250-642-3957,250-642-7808,"TMX CDCR primary contact:
Kurt Salchert 
Marine Advisor
kurtrcn@gmail.com
cc Joanne Routhier
Marine Liaison Officer (CDCR)
joannerouthier@gmail.com
cc Eva Shaffer
Marine Liaison Officer (CDCR)
eva.marie.shaffer@gmail.com
cc Ryan Chamberland
Marine Liaison Officer (CDCR)
ryan@vancouverislandlodge.ca

Sandra Sprinkling
Finance Manager
admin1@tsoukenation.com


P4P0 rep: Sheri Solares (sheri.solares@canada.ca)
Please reach out to Sheri for any questions regarding the communities they are working with. Please also copy Kimberly Lavoie and Dana Lefebvre on all requests.",,,,http://www.tsoukenation.com/,,2/11/2024,,,,,,,,First Nation
Uchucklesaht Tribe,,UT,"5251 ARGYLE STREET, SUITE A",,Port Alberni,V9Y 1V1,10,(250) 724-1832 ,(250) 724-1806,"CCG Contact:
Ryan Anaka
Director of Lands and Resources
Ryan.Anaka@uchucklesaht.ca
Moses Towell
Resource and Development Manager 
moses.towell@uchucklesaht.ca",,,,https://www.uchucklesaht.ca/,,,,,,,,,,First Nation
Ucluelet First Nation,Yuu?u?i??at?,UFN,127 Hit-Tat-Soo,"PO BOX 699
",Ucluelet,V0R 3A0 ,10,(250) 726-7342,(250) 726-7552,"CCG Contacts:
Mgr of Fisheries and Wildlife 
Jonquil Crosby 
jonquil.crosby@ufn.ca
Director of Operations
Suzanne Williams
Suzanne.Williams@ufn.ca
Director of Lands & Resources
Zoltan Schafer
zoltan.schafer@ufn.ca",,,,https://www.ufn.ca/,,5/17/2023,,,,,,,,First Nation
Wei Wai Kum First Nation,,WWWKN,,,,,10,,,,,,,https://weiwaikum.ca/,,,,,,,,,,First Nation
Wet'suwet'en First Nation,,WFN,21 Tom Dr.,"P.O. Box 760
",Burns Lake,V0J 1E0,10,250-698-7307,250-698-7480,,,,,http://www.wetsuweten.com/,,5/31/2022,,,,,,,,First Nation
Wuikinuxv Nation,,WN,"WUIKINUXVILLAGE RIVERS INLET
",PO BOX 3500,Port Hardy,V0N 2P0,10,(250) 949-8625,(250) 949-7105,"CCG Contacts
Lena Collins
Education Coordinator
wuikinuxvmapc@wuikinuxv.net
Andra Forney
Stewardship Director
stewardship_director@wuikinuxv.net",,,,https://fnp-ppn.aadnc-aandc.gc.ca/FNP/Main/Search/FNMain.aspx?BAND_NUMBER=541&lang=eng,,2/6/2022,,,,,,,,First Nation
